Provincia,Tipo recurso,CIF,exp_fecapertura,Nombre establecimiento,Municipio,C. Postal,Web
Badajoz,Minorista,08818893A,09/06/2010,LA ESTACION DE TREN,BADAJOZ,6006,No
Badajoz,Minorista,044786432G,31/01/2019,LA MALETA DE LOLA,HORNACHOS,6228,No
Badajoz,Minorista,B06325088,09/06/2010,LAS FLORES TOUR,AZUAGA,6920,No
Badajoz,Minorista,033973850K,23/11/2015,LOLY TRAVEL,ALMENDRALEJO,6200,Si
Badajoz,Minorista,008880146F,11/11/2022,LUCIA VIAJES,JEREZ DE LOS CABALLEROS,6380,No
Badajoz,Minorista,08848020N,09/06/2010,MARWAN VIAJES,BADAJOZ,6007,Si
Badajoz,Minorista,029646712B,30/10/2018,MG TRAVEL,FUENTE DE CANTOS,6240,Si
Badajoz,Minorista,B06530133,09/06/2010,MONTIJO TOUR,MONTIJO,6480,Si
Badajoz,Minorista,B06446801,15/02/2013,NEMO,MERIDA,6800,Si
Badajoz,Minorista,008827267M,10/03/2017,NINESCALLE.COM,BADAJOZ,6001,Si
Badajoz,Minorista,009188706E,25/04/2019,OCYSOL VIAJES,CALAMONTE,6810,No
Badajoz,Minorista,80089039A,09/06/2010,PALOMO,VALVERDE DE LEGANES,6130,Si
Badajoz,Minorista,B06639108,23/05/2013,PLAYAYCIUDAD.COM,BADAJOZ,6008,Si
Badajoz,Minorista,B06646608,16/07/2015,SALUUS TOURISM,ALMENDRALEJO,6200,Si
Badajoz,Minorista,B06729610,03/05/2018,SCAPA VIAJES,SANTA AMALIA,6410,No
Badajoz,Minorista,033973152J,12/01/2017,SERAFITRAVEL,ALMENDRALEJO,6200,Si
Badajoz,Minorista,07045583Q,09/06/2010,SUBERTRAVEL,SAN VICENTE DE ALCANTARA,6500,No
Badajoz,Minorista,B06237267,23/01/2015,TBTOURS VIAJES,CASTUERA,6420,Si
Badajoz,Minorista,30197346W,09/06/2010,TERESA VIAJES,AZUAGA,6920,Si
Badajoz,Minorista,B06375125,09/06/2010,TERMINAL TURISTICA GOMEZ CASAS,ALMENDRALEJO,6200,Si
Badajoz,Minorista,B06375125,27/08/2014,TERMINAL TURISTICA GOMEZ CASAS,CORTE DE PELEAS,6196,Si
Badajoz,Minorista,B06375125,27/08/2014,TERMINAL TURISTICA GOMEZ CASAS,BADAJOZ,6011,Si
Badajoz,Minorista,08846765E,09/06/2010,TONI SANCHEZ TOURS,TALAVERA LA REAL,6140,No
Badajoz,Minorista,034780211W,12/12/2022,TOURISSY,RIBERA DEL FRESNO,6225,Si
Badajoz,Minorista,B06598635,27/07/2012,TOURSTAR VIAJES,ZAFRA,6300,No
Badajoz,Minorista,B06598635,19/01/2012,TOURSTAR VIAJES,SANTOS DE MAIMONA (LOS),6230,No
Badajoz,Minorista,080101547E,03/02/2020,TRAVELSIA TRAVEL,BADAJOZ,6010,Si
Badajoz,Minorista,B06344535,09/06/2010,TRAVENTURE TOURS,BADAJOZ,6011,Si
Badajoz,Minorista,080062994V,19/09/2018,UNBEKANNTES SPANIEN,SANTA AMALIA,6410,Si
Badajoz,Minorista,B06699524,08/07/2016,VEGALTOUR,DON BENITO,6400,Si
Badajoz,Minorista,E06419071,09/06/2010,VIAJES ALVILLAR,ALBURQUERQUE,6510,Si
Badajoz,Minorista,E06419071,09/06/2010,VIAJES ALVILLAR,VILLAR DEL REY,6192,Si
Badajoz,Minorista,E06508675,09/06/2010,VIAJES BATALYOS,BADAJOZ,6008,Si
Badajoz,Minorista,B06323471,09/06/2010,VIAJES BONHAVAL,VILLAFRANCA DE LOS BARROS,6220,Si
Badajoz,Minorista,009179773J,09/06/2011,VIAJES CAVA TOURS,FUENTE DEL MAESTRE,6360,No
Badajoz,Minorista,09206175B,09/06/2010,VIAJES CORVO,ARROYO DE SAN SERVAN,6850,Si
Badajoz,Minorista,046555804D,23/04/2014,VIAJES DONDE VAMOS?,BADAJOZ,6008,No
Badajoz,Minorista,008364646Y,06/03/2020,VIAJES FAMY,VILLANUEVA DE LA SERENA,6700,No
Badajoz,Minorista,79264579R,09/06/2010,VIAJES FEMAN,DON BENITO,6400,No
Badajoz,Minorista,008876704S,20/04/2023,VIAJES FRAN TIERRA DE BARROS,SANTA MARTA,6150,No
Badajoz,Minorista,B06436299,09/06/2010,VIAJES JOSE ANTONIO,AZUAGA,6920,No
Badajoz,Minorista,B06436299,09/06/2010,VIAJES JOSE ANTONIO,MERIDA,6800,Si
Badajoz,Minorista,B06436299,09/06/2010,VIAJES JOSE ANTONIO,FUENTE DEL MAESTRE,6360,No
Badajoz,Minorista,B06436299,13/02/2015,VIAJES JOSE ANTONIO,ZAFRA,6300,No
Badajoz,Minorista,080062407M,25/02/2014,VIAJES LA BARRANQUERA,CAMPANARIO,6460,No
Badajoz,Minorista,08804920Z,09/06/2010,VIAJES LINCE,BADAJOZ,6001,Si
Badajoz,Minorista,052964903C,28/01/2011,VIAJES MARIA VILLANUEVA DE LA SERENA,VILLANUEVA DE LA SERENA,6700,No
Badajoz,Minorista,B06348197,22/03/2016,VIAJES MITREO,MERIDA,6800,Si
Badajoz,Minorista,B06381594,07/04/2015,VIAJES MONTERO,DON BENITO,6400,Si
Badajoz,Minorista,005920057H,24/02/2017,VIAJES MONTESUR,LLERENA,6900,Si
Badajoz,Minorista,005920057H,23/03/2017,VIAJES MONTESUR,CABEZA DEL BUEY,6600,Si
Badajoz,Minorista,B06370449,09/06/2010,VIAJES PACO VILLENA,ALMENDRALEJO,6200,No
Badajoz,Minorista,B06529820,09/06/2010,VIAJES PESTANATOUR,OLIVENZA,6100,No
Badajoz,Minorista,008815721M,23/08/2012,VIAJES PLANEA,BADAJOZ,6004,Si
Badajoz,Minorista,B06259568,09/06/2010,VIAJES PUENTE REAL,BADAJOZ,6011,Si
Badajoz,Minorista,053263735J,14/04/2015,VIAJES RAYXA,VILLANUEVA DE LA SERENA,6700,Si
Badajoz,Minorista,08876458E,09/06/2010,VIAJES REYES TRAVELKING,BADAJOZ,6004,Si
Badajoz,Minorista,008884962Q,24/04/2017,VIAJES SERENA TOURS,ZALAMEA DE LA SERENA,6430,Si
Badajoz,Minorista,B06676498,10/07/2015,VIAJES SOL Y NIEVE,PUEBLA DE LA CALZADA,6490,Si
Badajoz,Minorista,08815372R,09/06/2010,VIAJES TANCO TRAVEL,OLIVA DE LA FRONTERA,6120,No
Badajoz,Minorista,A06144158,09/06/2010,VIAJES VALSOL TOURS,MERIDA,6800,No
Badajoz,Minorista,E06730121,04/05/2018,VIAJES VEMAR,AZUAGA,6920,Si
Badajoz,Minorista,A06020457,09/06/2010,VIAJES VIATOURS,ALMENDRALEJO,6200,Si
