NOMBRE,OTRO NOMBRE,TITULAR,RIO,CUENCA,MUNICIPIO,PROVINCIA,SUPERFICIE EMBALSE (ha),CAPACIDAD (hm3),COTA (m),USO,COORDENADAS,TIPO DE PRESA,ALTURA DESDE CIMIENTOS (m),CATEGORÍA (riesgo potencial)
RIBERA DEL CASTAÑO ,SERRADILLA,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,RIVERA DEL CASTAÑO,TAJO,"CASAS DE SAN MILLÁN, MIRABEL",CÁCERES,11.02,0.501,435.0,Abastecimiento,"220417,51 / 4414339,86",Gravedad. Hormigón,25.0,B
RIVERA DE MULA,SALORINO,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,RIVERA DE MULA,TAJO,SALORINO,CÁCERES,10.16,0.409,293.5,Abastecimiento,"156862,39 / 4375590,38",Materiales sueltos y mampostería,13.5,C
EL ROSAL ,PERALEDA DE SAN ROMÁN,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO DEL ROSAL,TAJO,PERALEDA DE SAN ROMÁN,CÁCERES,13.72,0.838,524.4,Abastecimiento,"296031,14 / 4400218,21",Materiales sueltos homogénea,22.5,C
LA RUTA DE LOS MOLINOS,GUADALUPE,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,GUADALUPEJO,GUADIANA,GUADALUPE,CÁCERES,3.71,0.295,695.5,Abastecimiento,"296487,63 / 4369358,51",Gravedad,36.4,A
SAN MARCOS,ACEITUNA,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO ACEITUNA,TAJO,ACEITUNA,CÁCERES,37.11,2.6,401.0,Abastecimiento,"217221,90 / 4446282,79",Materiales sueltos. Pantalla hormigón,31.28,B
SANTA LUCÍA ,TRUJILLO,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,GARGANTA DE SANTA LUCÍA,TAJO,CABAÑAS DEL CASTILLO. NAVEZUELAS,CÁCERES,14.38,1.498,682.0,Abastecimiento,"287823,03 / 4375331,76",Gravedad. Hormigón,38.95,C
SANTA MARTA DE MAGASCA,−,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO PASCUALETE,TAJO,SANTA MARTA DE MAGASCA,CÁCERES,4.72,0.276,287.5,Abastecimiento,"235606,83 / 4378291,86",Gravedad. Hormigón,22.8,C
EL SANTO ,CEDILLO,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,REGATO DEL PUEBLO,TAJO,CEDILLO,CÁCERES,7.19,0.218,286.0,Abastecimiento,"115478,91 / 4396944,73",Gravedad,11.15,A
TALAVÁN,−,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO TALAVÁN,TAJO,HINOJAL - TALAVÁN,CÁCERES,42.19,1.138,360.0,Abastecimiento,"215901,00 / 4396591,38",Gravedad. Hormigón,14.85,C
"TAPIAS, LAS",Aº CAPALLAR,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO CAPALLAR,TAJO,CAMINOMORISCO,CÁCERES,4.71,0.215,475.0,Abastecimiento,"227162,91 / 4471762,26",Gravedad. Hormigón,21.5,C
LOS VALLES,Ayo. RUBIALES,JUNTA DE EXTREMADURA. CONSEJERÍA TES.,ARROYO RUBIALES,GUADIANA,JEREZ DE LOS CABALLEROS,BADAJOZ,5.18,0.275,500.0,Abastecimiento,"168632,15 / 4256990,73",Gravedad,21.3,C
