Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
EXT-945,"AJOS TIERRA DE BARROS, SOCIEDAD COOPERATIVA",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,01/02/2012
EXT-1093,AVÍCOLA DE ACEUCHAL S. COOP. ESPECIAL,BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,15/03/2016
EXT-204,"COOPERATIVA EXTREMEÑA DE AJOS ""ACEUCHAL"", S. COOP.",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,19/09/2003
EXT-1055,"FISKELLES, S. COOP. ESPECIAL",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,11/11/2014
EXT-948,"LOS CLAROS, S. COOP. ESPECIAL",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,07/03/2012
EXT-1190,"PAJARITOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,17/10/2018
EXT-455,SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO SAN ISIDRO DE ACEUCHAL,BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,19/08/1983
EXT-061,SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE LA SOLEDAD,BADAJOZ,ACEUCHAL,6207,Sociedades Cooperativas Agroalimentarias,27/12/1976
EXT-935,ASISTENCIA A MAYORES EN AHILLONES AMA SOCIEDAD COOPERATIVA,BADAJOZ,AHILLONES,6940,Sociedades Cooperativas de Trabajo Asociado,06/11/2003
EXT-577,S. COOP. AGRICULTORES Y GANADEROS DE AHILLONES,BADAJOZ,AHILLONES,6940,Sociedades Cooperativas Agroalimentarias,21/09/2001
EXT-925,"CENTRO DE DIA ALANGE, S. COOP. ESPECIAL",BADAJOZ,ALANGE,6840,Sociedades Cooperativas de Trabajo Asociado,28/07/2011
EXT-1205,"PORHORNILLOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,16/04/2019
23227,SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CAMINO,BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas Agroalimentarias,01/12/1977
EXT-334,SOCIEDAD COOPERATIVA OLIVARERA DE LA ALBUERA,BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas Agroalimentarias,27/03/2000
EXT-561,TIERRAS LLANAS DE LA ALBUERA S. COOP. LTDA.,BADAJOZ,ALBUERA (LA),6170,Sociedades Cooperativas Agroalimentarias,16/09/2002
EXT-1165,"ALVISA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,04/04/2018
EXT-1284,"MATFER, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,20/05/2022
EXT-1083,"RIVERSTONE, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,23/10/2015
EXT-020,"SAN JOAQUIN DE ALBURQUERQUE, SOCIEDAD COOPERATIVA",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas Agroalimentarias,01/09/1982
EXT-741,"SERALBU, S. COOP. ESPECIAL",BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,07/04/2008
BA-074,SOCIEDAD COOPERATIVA LIMITADA DE TRABAJO ASOCIADO EL CASTILLO DE ALBURQUERQUE,BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Trabajo Asociado,09/06/1981
EXT-671,SOCIEDAD COOPERATIVA SIERRA DE SAN PEDRO,BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas Agroalimentarias,01/03/2002
EXT-1152,VIVIENDAS ALBURQUERQUE SOCIEDAD COOPERATIVA,BADAJOZ,ALBURQUERQUE,6510,Sociedades Cooperativas de Viviendas,29/09/2017
BA-155,"CONSTRUCCIONES ALCONCHEL, S. COOP. LTDA.",BADAJOZ,ALCONCHEL,6131,Sociedades Cooperativas de Trabajo Asociado,01/06/1983
EXT-1198,"INKEPTA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALCONCHEL,6131,Sociedades Cooperativas de Trabajo Asociado,23/01/2019
BA-131,"QUESERA DE ALCONCHEL, S. COOP. LTDA.",BADAJOZ,ALCONCHEL,6131,Sociedades Cooperativas de Trabajo Asociado,02/09/1982
06/BA-588,SOCIEDAD COOPERATIVA OASIS DE ALCONCHEL,BADAJOZ,ALCONCHEL,6131,Sociedades Cooperativas de Trabajo Asociado,28/06/1993
EXT-1032,"COVICOR, S. COOP. ESPECIAL",BADAJOZ,ALDEA DE CORTEGANA,6196,Sociedades Cooperativas Agroalimentarias,24/04/2014
EXT-456,ALDEAUTO S. COOP.,BADAJOZ,ALDEA DE RETAMAR,6196,Sociedades Cooperativas de Trabajo Asociado,22/03/2001
EXT-515,CORAZÓN DE JESÚS SOCIEDAD COOPERATIVA,BADAJOZ,ALDEA DE RETAMAR,6196,Sociedades Cooperativas Agroalimentarias,13/04/1978
BA-232,SOCIEDAD COOPERATIVA LIMITADA ACEITUNERA ENTRE ALDEAS DE ALDEA DE RETAMAR,BADAJOZ,ALDEA DE RETAMAR,6196,Sociedades Cooperativas Agroalimentarias,18/04/1985
EXT-1217,"EUROCORK, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRAL,6171,Sociedades Cooperativas de Trabajo Asociado,19/07/2019
EXT-440,"SOCIEDAD COOPERATIVA AGRARIA SAN MAURO, S. COOP. LTDA.",BADAJOZ,ALMENDRAL,6171,Sociedades Cooperativas Agroalimentarias,09/03/1946
06/BA-628,"ADMINISTRACION DE RESTAURANTES, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,24/03/1994
EXT-1050,"AMK ASOCIADOS, S. COOP. ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,30/10/2014
EXT-538,"BODEGAS EUROPEAS, SOCIEDAD COOPERATIVA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,22/10/2002
EXT-1288,"CASA OLEO, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,11/07/2022
06/BA-683,"CONSALCA, S. COOP.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,06/04/1995
06/BA-011,"CONSTRUCCIONES EL ALMENDRO, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,02/02/1988
18492,COOPERATIVA DE VIVIENDAS CAROLINA CORONADO,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Viviendas,31/05/1971
06/BA-041,"COOPERATIVA EXTREMEÑA DE EMBUTIDOS, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,10/08/1988
06/BA-440,"COOPERATIVA HOSTELERA DE ALMENDRALEJO, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,21/05/1990
10049,COOPERATIVA NUESTRA SEÑORA DE LA PIEDAD,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Servicios,12/05/1962
06/BA-645,"COOPERATIVA TRANSPORTE ALMENDRALEJO, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Transportistas,15/06/1994
EXT-960,"COVIDEX, SOCIEDAD COOPERATIVA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,04/07/2012
EXT-1009,"DISTRIBUCIONES PANADERAS ARTESANAS DE EXTREMADURA, SOCIEDAD COOPERATIVA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Servicios,24/10/2013
EXT-1189,"EL MORAL, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,17/10/2018
EXT-1178,"EL ROBLE, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,22/06/2018
EXT-1179,"HERPEAL, SOCIEDAD COOPERATIVA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,22/06/2018
EXT-1256,"INGENIERIA Y ARQUITECTURA, S. COOP. ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,12/01/2021
EXT-993,"JARDINERÍA ALMENDRALEJO, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,08/05/2013
EXT-1069,LAS COLEGIATAS S. COOP. ESPECIAL,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,30/03/2015
EXT-212,"LAS MONGIAS, S. COOP.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,05/10/1993
EXT-1212,"LIFE SPORT CEF, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,19/06/2019
EXT-1252,"LOS CALICANTO, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,05/10/2020
06/BA-405,"LOS MIGUELETES, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,20/11/1989
06/BA-230,"MÁRMOLES ASUAR RAMÍREZ, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,15/03/1985
06/BA-025,"MENA, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,30/03/1988
EXT-1001,"MERCHANTIA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,19/09/2013
EXT-1267,MOPRACA SOCIEDAD COOPERATIVA ESPECIAL,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,14/07/2021
EXT-1207,"OLEOSUBER, S. COOP. ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,14/05/2019
06/BA-654,PLÉYADES SOCIEDAD COOPERATIVA,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,11/10/1994
EXT-501,"PRAEM, S. COOP.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,08/01/2001
BA-184,QUÍMICA UNIÓN SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,16/03/1984
BA-113,"RINCÓN EXTREMEÑO, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,15/04/1982
20533,SOCIEDAD COOPERATIVA DE VIVIENDAS VILLAR PALASÍ,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Viviendas,05/09/1974
2727,SOCIEDAD COOPERATIVA DEL CAMPO DE ALMENDRALEJO,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,06/03/1947
EXT-202,SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO OLIBARRO,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,24/05/1994
EXT-166,SOCIEDAD COOPERATIVA LIMITADA LOS CURADO,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,02/03/1988
EXT-315,SOCIEDAD COOPERATIVA LIMITADA MINUSBARROS DE ALMENDRALEJO,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,14/11/1989
BA-048,SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DEL CARMEN,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,27/11/1980
EXT-532,TORRES DE BRIZ S. COOP. LTDA.,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas Agroalimentarias,19/10/1988
EXT-030,VIÑAOLIVA SOCIEDAD COOPERATIVA,BADAJOZ,ALMENDRALEJO,6200,Segundo Grado,07/05/1999
EXT-1154,WAZO SOCIEDAD COOPERATIVA,BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Iniciativa Social,23/11/2017
EXT-982,"WORKING PARTY, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,07/02/2013
06/BA-595,"YESAL, S. COOP. LTDA.",BADAJOZ,ALMENDRALEJO,6200,Sociedades Cooperativas de Trabajo Asociado,10/08/1993
EXT-859,"AGROEXPLOTACIONES EL CUARTILLO, S. COOP. ESPECIAL",BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,11/01/2010
06/BA-447,"ARROYESCO, S. COOP. LTDA.",BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas de Trabajo Asociado,19/07/1990
EXT-1127,"EL BARRO, S. COOP.",BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,07/10/2016
EXT-1232,"EL CAÑAVERAL, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,17/01/2020
EXT-1203,"LA ENCARNACIÓN, SOCIEDAD COOPERATIVA ESPECIAL AGRARIA",BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,11/04/2019
EXT-1029,LAS MACILLAS S. COOP. ESPECIAL,BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,08/04/2014
EXT-1255,MAFEITAS SOCIEDAD COOPERATIVA ESPECIAL,BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,28/12/2020
BA-212,"NUESTRA SEÑORA DE CUBILLANA, S. COOP. LTDA.",BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas de Viviendas,15/10/1984
EXT-110,"SANTA CRUZ Y PERALES, S. COOP.",BADAJOZ,ARROYO DE SAN SERVAN,6850,Segundo Grado,28/10/2004
06/BA-004,SOCIEDAD COOPERATIVA EXPLOTACIONES HORTÍCOLAS SAN SERVÁN,BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas de Trabajo Asociado,09/11/1987
EXT-517,SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO DE LA SANTA CRUZ DE ARROYO DE SAN SERVAN,BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,10/06/1985
EXT-006,SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE PERALES DE ARROYO DE SAN SERVÁN,BADAJOZ,ARROYO DE SAN SERVAN,6850,Sociedades Cooperativas Agroalimentarias,09/03/1979
EXT-1075,SOCIEDAD COOPERATIVA LIMITADA TORRE ATALAYA,BADAJOZ,ATALAYA,6329,Sociedades Cooperativas de Trabajo Asociado,15/12/1983
BA-098,"CÁRNICAS AZUAGUEÑAS, S. COOP. LTDA.",BADAJOZ,AZUAGA,6920,Sociedades Cooperativas de Trabajo Asociado,08/02/1982
EXT-704,CODUPAN SOCIEDAD COOPERATIVA,BADAJOZ,AZUAGA,6920,Sociedades Cooperativas de Trabajo Asociado,04/09/1997
06/BA-039,"COINEX, S. COOP. LTDA., COOPERATIVA DE INVERNADEROS DE EXTREMADURA",BADAJOZ,AZUAGA,6920,Sociedades Cooperativas de Trabajo Asociado,11/07/1988
BA-158,"CONSTRUCCIONES ARSA, S. COOP. LTDA.",BADAJOZ,AZUAGA,6920,Sociedades Cooperativas de Trabajo Asociado,23/06/1983
EXT-1260,"ELECTRICIDAD MIRAMONTES, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,AZUAGA,6920,Sociedades Cooperativas de Trabajo Asociado,08/04/2021
SMT-1097,SOCIEDAD COOPERATIVA FUENTE LA TENOR DE VIVIENDAS,BADAJOZ,AZUAGA,6920,Sociedades Cooperativas de Viviendas,09/08/1988
EXT-1166,"3 EME FUSIÓN - GESTIÓN DE ACTIVOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6007,Sociedades Cooperativas de Trabajo Asociado,06/04/2018
EXT-977,"ABUNDIA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6010,Sociedades Cooperativas de Trabajo Asociado,07/02/2013
EXT-1155,"ALUSAN EXTREMADURA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6007,Sociedades Cooperativas de Trabajo Asociado,01/12/2017
EXT-1013,"ASELEX, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Trabajo Asociado,07/11/2013
EXT-378,"ATEX, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,BADAJOZ,6007,Sociedades Cooperativas de Trabajo Asociado,05/06/1992
EXT-500,"AUTO REPARACIONES FINAR, S. COOP. ESPECIAL",BADAJOZ,BADAJOZ,6008,Sociedades Cooperativas de Trabajo Asociado,30/03/2007
EXT-1039,"BABUTRANS, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Transportistas,03/11/1993
EXT-314,"BACEM, S. COOP. LTDA. DE MUEBLES",BADAJOZ,BADAJOZ,6008,Sociedades Cooperativas de Trabajo Asociado,11/04/1986
EXT-683,"BUFETE COVARSI, S. COOP. ESPECIAL PROFESIONAL",BADAJOZ,BADAJOZ,6005,Sociedades Cooperativas de Trabajo Asociado,12/11/2007
06/BA-930,"CADENA DE ALIMENTOS Y PRODUCTOS EL MAESTRO, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6008,Sociedades Cooperativas de Trabajo Asociado,17/07/2001
EXT-644,"CASABLANCA, S. COOP. ESPECIAL",BADAJOZ,BADAJOZ,6005,Sociedades Cooperativas Agroalimentarias,07/08/2007
EXT-306,"CEAREX, SOCIEDAD COOPERATIVA LTDA.",BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,14/07/1994
EXT-159,"CENTRO DOCENTE JESÚS OBRERO, S. COOP.",BADAJOZ,BADAJOZ,6010,Sociedades Cooperativas de Enseñanza,04/05/1978
EXT-1070,"CERRAJERIA Y FORJA DE EXTREMADURA, S. COOP. ESPECIAL",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Trabajo Asociado,08/04/2015
06/BA-717,"CLUB HIPICO ESPECTACULOS BADAJOZ, S. COOP.",BADAJOZ,BADAJOZ,6800,Sociedades Cooperativas de Trabajo Asociado,15/03/1996
EXT-477,"COMPLEJO AGRÍCOLA VALDETORRES, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas Agroalimentarias,22/05/1997
12373,COOPERATIVA ALGODONERA DE EXTREMADURA,BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas Agroalimentarias,17/04/1965
20671,"COOPERATIVA NTRA. SRA. DE LA ASUNCIÓN, S. COOP.",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas de Trabajo Asociado,30/11/1974
EXT-344,"COOPERATIVA PROVINCIAL DE TAXIS Y TRANSPORTES DE BADAJOZ, SOCIEDAD COOPERATIVA (COOPTTRABA S. COOP.)",BADAJOZ,BADAJOZ,6005,Sociedades Cooperativas de Transportistas,17/03/1960
EXT-1122,"CREDEX, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,19/09/2016
EXT-259,"DECORIN, S. COOP. LTDA.",BADAJOZ,BADAJOZ,6009,Sociedades Cooperativas de Trabajo Asociado,17/02/1986
EXT-1161,EXTINTREX SOCIEDAD COOPERATIVA ESPECIAL,BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,02/03/2018
EXT-987,"EXTREMEÑA DE MAQUINARIA PACENSE, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,25/02/2013
EXT-1294,"EXTRETEL CO, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6008,Sociedades Cooperativas de Trabajo Asociado,26/10/2022
EXT-1033,"G3 ELECTRICAL SOLUTIONS, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Trabajo Asociado,12/05/2014
EXT-093,"GANADEC, S. COOP. LTDA.",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas Agroalimentarias,02/03/2004
EXT-850,GETRABA SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Transportistas,03/03/2000
EXT-914,"HALUPLAST, S. COOP.",BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,24/03/1995
EXT-1125,JACARANDA SOCIEDAD COOPERATIVA,BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Trabajo Asociado,05/10/2016
EXT-1080,"LA COMPAÑÍA, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6003,Sociedades Cooperativas de Enseñanza,25/08/2015
EXT-102,"LA RISCA, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas Agroalimentarias,01/07/2004
EXT-1150,LAS LEBRONAS SOCIEDAD COOPERATIVA ESPECIAL,BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas Agroalimentarias,08/08/2017
EXT-1280,"LOS MANANTIALES, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,BADAJOZ,6003,Sociedades Cooperativas de Trabajo Asociado,11/04/2022
EXT-1099,MONTAJES FERIALES S. COOP. ESPECIAL,BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,06/04/2016
EXT-498,NUESTRA SEÑORA DE LA SOLEDAD DE BADAJOZ SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Transportistas,05/02/1988
06/BA-562,"PAVIMENTOS INDUSTRIALES BADAJOZ, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6010,Sociedades Cooperativas de Trabajo Asociado,08/02/1993
BA-340,"PINTURAS INDUSTRIALES DEL SUROESTE, S. COOP. LTDA.",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas de Trabajo Asociado,08/10/1987
EXT-1208,"POSGRADFORM, S. COOP. ESPECIAL",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Trabajo Asociado,29/05/2019
06/BA-497,"PUENTE GUADIANA, S. COOP. LTDA.",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas de Trabajo Asociado,30/09/1991
EXT-1034,"RECORD CONSULTING, S. COOP. ESPECIAL",BADAJOZ,BADAJOZ,6008,Sociedades Cooperativas de Trabajo Asociado,29/05/2014
EXT-1158,"RESIDENCIAL CONQUISTADORES, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Viviendas,12/01/2018
EXT-1201,"RESIDENCIAL DESCUBRIDORES, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Viviendas,25/03/2019
06/BA-713,"REVINEX, SOCIEDAD COOPERATIVA",BADAJOZ,BADAJOZ,6011,Sociedades Cooperativas de Trabajo Asociado,07/02/1996
EXT-642,RIAGO S. COOP. ESPECIAL,BADAJOZ,BADAJOZ,6003,Sociedades Cooperativas de Trabajo Asociado,03/08/2007
EXT-412,"RINCÓN DE CAYA, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,BADAJOZ,6080,Sociedades Cooperativas Agroalimentarias,15/11/1983
EXT-1120,S. COOP. DE ARTES ESCÉNICAS Y PLÁSTICAS DE EXTREMADURA,BADAJOZ,BADAJOZ,6005,Sociedades Cooperativas de Trabajo Asociado,05/09/2016
EXT-299,S. COOP. EDUCACIÓN Y CUIDADO INFANTIL LA CIGÜEÑA,BADAJOZ,BADAJOZ,6010,Sociedades Cooperativas de Trabajo Asociado,31/03/2003
06/BA-835,S. COOP. RODAMIENTOS EXTREMADURA,BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas de Trabajo Asociado,28/07/1999
EXT-430,SALONES PRINCESA SOCIEDAD COOPERATIVA,BADAJOZ,BADAJOZ,6009,Sociedades Cooperativas de Trabajo Asociado,06/03/1998
EXT-070,"SANTA MARTA DEL CAYA, S. COOP.",BADAJOZ,BADAJOZ,6005,Sociedades Cooperativas Agroalimentarias,14/05/2003
06/BA-002,"SERVICIO OBRERO SOCIAL, S. COOP. LTDA.",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas de Trabajo Asociado,22/10/1987
BA-293,"SERVICIOS AÉREOS NACIONALES, S. COOP. LTDA.",BADAJOZ,BADAJOZ,6002,Sociedades Cooperativas de Trabajo Asociado,01/08/1986
EXT-435,"SERVICIOS ASISTENCIALES, S. COOP.",BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Trabajo Asociado,12/11/1993
EXT-740,SERVICIOS DE ARTES GRÁFICAS DE IMPRENTA BORAME SOCIEDAD COOPERATIVA,BADAJOZ,BADAJOZ,6007,Sociedades Cooperativas de Trabajo Asociado,20/10/2003
EXT-198,"SERVICIOS SOCIOSANITARIOS Y DE ASISTENCIA S. COOP. ""SERVISCOOP""",BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Iniciativa Social,15/06/2000
EXT-1156,"SERVITORRE, S. COOP. ESPECIAL",BADAJOZ,BADAJOZ,6005,Sociedades Cooperativas de Trabajo Asociado,09/01/2018
EXT-1183,SOCIEDAD COOPERATIVA CAMPO EXTREMEÑO,BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas Agroalimentarias,15/12/1994
20049,SOCIEDAD COOPERATIVA DE LIBREROS DE BADAJOZ,BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Consumidores y Usuarios,26/01/1974
06/BA-803,SOCIEDAD COOPERATIVA DE LIMPIEZA LA BRILLANTE,BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Trabajo Asociado,08/11/1998
EXT-627,SOCIEDAD COOPERATIVA DE RECOGIDA DE ACEITE DE EXTREMADURA,BADAJOZ,BADAJOZ,6006,Sociedades Cooperativas de Trabajo Asociado,10/05/2001
21896,"SOCIEDAD COOPERATIVA DE VIVIENDAS DE DOCENTES DE BADAJOZ ""COVIDOBA""",BADAJOZ,BADAJOZ,6001,Sociedades Cooperativas de Viviendas,10/07/1976
