"NUMERO REGISTRO","CARACTER","DENOMINACION","CIF","FORMA CONSTITUCIÓN","ADAPTADA LEY 50/2002","TRANSFERIDA ESTADO","AMBITO","FECHA INSCRIPCIÓN","NACIONALIDAD","LOCALIDAD","PROVINCIA","COD. POSTAL","FINES"
"87N","Privada","FUNDACIÓN ABDÓN GARCÍA LUIS ALONSO","G10454825","Mortis Causa","Si","No","Provincial","16/01/2015","Española","Plasencia","CÁCERES","10600","ASISTENCIAL"
"79N","Sector Público","FUNDACIÓN ACADEMIA EUROPEA E IBEROAMERICANA DE YUSTE","G80325780","Intervivos","Si","No","Comunidad Autónoma","03/03/2011","Española","Cuacos de Yuste","CÁCERES","10430","CULTURAL"
"06/0131","Privada","FUNDACIÓN ADATEX","G06591960","Intervivos","Si","No","Comunidad Autónoma","10/01/2011","Española","Don Benito","BADAJOZ","06400","ASISTENCIAL"
"06/0130","Privada","FUNDACIÓN AFINEX","G06587661","Intervivos","Si","No","Comunidad Autónoma","17/09/2010","Española","Badajoz","BADAJOZ","06010","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"100001-000","Privada","FUNDACIÓN AGREGACIÓN DE FUNDACIONES BENEFICO-PARTICULARES DE LA PROVINCIA DE CÁCERES","G10159507","Intervivos","No","Si","Provincial","20/04/1964","Española","Merida","BADAJOZ","06800","ASISTENCIAL"
"06/0051","Privada","FUNDACIÓN AGREGACIÓN DE FUNDACIONES DE LA PROVINCIA DE BADAJOZ",,"Intervivos","No","Si","Provincial","23/12/1965","Española","Merida","BADAJOZ","06800","ASISTENCIAL"
"10/0032","Privada","FUNDACIÓN AGUSTÍN VALLE MARTÍN. COLEGIO NUESTRA SEÑORA DE LA ASUNCIÓN",,"Mortis Causa","No","Si","Local","12/10/1915","Española","Torrejoncillo","CÁCERES","10830","BENEFICA-ASISTENCIAL"
"06/0077","Privada","FUNDACIÓN ALBEAR","G06303648","Intervivos","Si","No","Comunidad Autónoma","29/03/1999","Española","Olivenza","BADAJOZ","06100","CULTURAL"
"06/0108","Privada","FUNDACIÓN ALFONSO GALLARDO","G06507644","Intervivos","Si","No","Comunidad Autónoma","14/05/2007","Española","Jerez de los Caballero","BADAJOZ","06380","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"FDCC-16","Privada","FUNDACIÓN ANTONIO TORRES CASTELLANO",,"Mortis Causa","No","Si","Local","13/11/1958","Española","Brozas","CÁCERES","10600","DOCENTE"
"06/0078","Privada","FUNDACIÓN ARCÁNGEL SAN MIGUEL DE ZAFRA","G06302939","Intervivos","Si","No","Local","11/05/1999","Española","Zafra","BADAJOZ","06300","CULTURAL"
"10/0027","Privada","FUNDACIÓN ARGIMIRO PLAZA AGUILAR","G10036432","Mortis Causa","Si","Si","Local","15/01/1963","Española","Pozuelo de Zarzon","CÁCERES","10813","DOCENTE"
"FDCC-11","Privada","FUNDACIÓN ASENSIO NEILA",,"Mortis Causa","No","Si","Local","23/10/1916","Española","Hervas","CÁCERES","10700","BENÉFICO-DOCENTE"
"100031-000","Privada","FUNDACIÓN ASILO DE SAN JOSÉ Y SANTA MARGARITA","G1000062H","Mortis Causa","Si","Si","Local","28/02/1909","Española","Trujillo","CÁCERES","10200","ASISTENCIAL"
"06/0026","Privada","FUNDACIÓN ASILO HOSPITAL NTRA. SÑRA DEL CARMEN",,"Mortis Causa","No","Si","Local","23/05/1913","Española","Haba (La)","BADAJOZ","06714","ASISTENCIAL"
"100028-000","Privada","FUNDACIÓN ASILO SAN JOSE",,"Mortis Causa","Si","Si","Local","19/10/1928","Española","Torrejoncillo","CÁCERES","10830","ASISTENCIAL"
"82N","Privada","FUNDACIÓN ASPACE CÁCERES","G10442523","Intervivos","Si","No","Comunidad Autónoma","19/12/2013","Española","Cáceres","CÁCERES","10005","ASISTENCIAL"
"06/0155","Privada","FUNDACIÓN ATABAL PARA LA COOPERACIÓN AL DESARROLLO","G06481758","Intervivos","No","No","Comunidad Autónoma","13/10/2022","Española","Badajoz","BADAJOZ","06002","COOPERACIÓN PARA EL DESARROLLO"
"95N","Privada","FUNDACIÓN ATRIO CÁCERES","G10836096","Intervivos","Si","No","Comunidad Autónoma","12/07/2022","Española","Cáceres","CÁCERES","10003","CULTURAL"
"63N","Privada","FUNDACIÓN AVANCE Y PROGRESO","G10322196","Intervivos","Si","No","Comunidad Autónoma","19/10/2004","Española","Cáceres","CÁCERES","10003","COOPERACIÓN PARA EL DESARROLLO"
"06/0092","Privada","FUNDACIÓN BADAJOZ SPORT","G06371660","Intervivos","No","No","Comunidad Autónoma","25/09/2002","Española","Badajoz","BADAJOZ","06009","DEPORTIVA"
"06/0091","Privada","FUNDACIÓN BANCO DE ALIMENTOS DE BADAJOZ","G06382022","Intervivos","Si","No","Provincial","09/07/2002","Española","Badajoz","BADAJOZ","06006","ASISTENCIAL"
"10/0037","Privada","FUNDACIÓN BENÉFICA CECILIO PÉREZ Y JUANA RODRIGO",,"Mortis Causa","Si","Si","Local","16/12/1964","Española","Villamiel","CÁCERES","10893","BENEFICA-ASISTENCIAL"
"10/0045","Privada","FUNDACIÓN BENÉFICA OJALVO MONFORTE","G10041242","Mortis Causa","Si","Si","Local","25/03/1988","Española","Talayuela","CÁCERES","10310","ASISTENCIAL"
"FDCC-12","Privada","FUNDACIÓN BENÉFICO-DOCENTE DE LA PROVINCIA DE CÁCERES",,"Intervivos","No","Si","Provincial","26/03/1955","Española","Merida","BADAJOZ","06800","BENÉFICO-DOCENTE"
"72N","Privada","FUNDACIÓN CÁCERES CAPITAL","G10375186","Intervivos","Si","No","Comunidad Autónoma","06/05/2008","Española","Cáceres","CÁCERES","10001","CULTURAL"
"50N","Privada","FUNDACIÓN CÁCERES CLUB BALONCESTO","G10207728","Intervivos","Si","No","Comunidad Autónoma","15/01/1997","Española","Cáceres","CÁCERES","10002","CULTURAL-DEPORTIVA"
"66N","Privada","FUNDACIÓN CÁCERES SIGLO XXI","G10354967","Intervivos","Si","No","Comunidad Autónoma","27/11/2006","Española","Cáceres","CÁCERES","10002","VARIOS"
"86N","Privada","FUNDACIÓN CAJA DE EXTREMADURA","G10392736","Intervivos","Si","No","Comunidad Autónoma","06/10/2014","Española","Cáceres","CÁCERES","10001","PROMOCIÓN DE LA ACCIÓN SOCIAL"
"06/0145","Privada","FUNDACIÓN CAJALMENDRALEJO","G06708846","Intervivos","Si","No","Comunidad Autónoma","31/01/2017","Española","Almendralejo","BADAJOZ","06200","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"FDCC-21","Privada","FUNDACIÓN CARMEN RODRÍGUEZ SÁNCHEZ",,"Mortis Causa","Si","Si","Provincial","03/02/1993","Española","Plasencia","CÁCERES","10600","DOCENTE"
"06/0152","Privada","FUNDACIÓN CASA MISERICORDIA EL PILAR DE ALMENDRALEJO","G42842997","Intervivos","No","No","Comunidad Autónoma","18/02/2021","Española","Almendralejo","BADAJOZ","06200","ASISTENCIAL"
"06/0122","Privada","FUNDACIÓN CENTIA VARGAS CARVAJAL","G06570105","Intervivos","Si","No","Comunidad Autónoma","20/01/2010","Española","Zafra","BADAJOZ","06300","ASISTENCIAL-DOCENTE"
"83N","Sector Público","FUNDACIÓN CENTRO DE CIRUGÍA DE MÍNIMA INVASIÓN JESÚS USÓN","G10347417","Intervivos","Si","Si","Comunidad Autónoma","19/02/2014","Española","Cáceres","CÁCERES","10071","INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO"
"06/0133","Privada","FUNDACIÓN CENTRO DE ESTUDIOS PRESIDENTE RODRÍGUEZ IBARRA","G06597918","Intervivos","Si","No","Comunidad Autónoma","06/04/2011","Española","Olivenza","BADAJOZ","06100","CULTURAL"
"06/0101","Privada","FUNDACIÓN CENTRO REGIONAL EXTREMEÑO DE SERVICIOS EMPRESARIALES ( CRESEM)","G06430276","Intervivos","Si","No","Comunidad Autónoma","24/11/2004","Española","Badajoz","BADAJOZ","06006","LABORAL"
"06/0127","Privada","FUNDACIÓN CENTRO TECNOLÓGICO DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN DE EXTREMADURA","G06583405","Intervivos","Si","No","Comunidad Autónoma","31/05/2010","Española","Don Benito","BADAJOZ","06400","DESARROLLO DE LA SOCIEDAD DE INFORMACIÓN"
"06/0080","Privada","FUNDACIÓN CLUB DE FUTBOL EXTREMADURA","A06247274","Intervivos","No","No","Comunidad Autónoma","16/11/1999","Española","Almendralejo","BADAJOZ","06200","CULTURAL-DEPORTIVA"
"FDCC-8","Privada","FUNDACIÓN COLEGIO DE HUERFANAS DE SAN JOSÉ","G10013779","Mortis Causa","No","Si","Local","07/09/1912","Española","Plasencia","CÁCERES","10600","ASISTENCIAL-DOCENTE"
"FDCC-14","Privada","FUNDACIÓN COLEGIO DE HUÉRFANOS LA CONSTANCIA - (BAJO LA ADVOCACIÓN DE SAN CALIXTO)","E10014967","Mortis Causa","Si","Si","Comarcal","16/03/1868","Española","Plasencia","CÁCERES","10600","DOCENTE"
"FDCC-17","Privada","FUNDACIÓN COLEGIO DE LA SANTISIMA TRINIDAD",,"Mortis Causa","Si","Si","Local","08/01/1914","Española","Cáceres","CÁCERES","10003","DOCENTE"
"FDCC-7","Privada","FUNDACIÓN COLEGIO DE SAN FABIAN",,"Mortis Causa","No","Si","Local","08/04/1842","Española","Plasencia","CÁCERES","10600","DOCENTE"
"FDCC-15","Privada","FUNDACIÓN COLEGIO GRATUITO DE SANTIAGO Y SANTA MARGARITA",,"Intervivos","No","Si","Local","11/12/1928","Española","Trujillo","CÁCERES","10200","DOCENTE"
"10/0018","Privada","FUNDACIÓN COLEGIO NUESTRA SEÑORA DE LAS MERCEDES",,"Intervivos","No","Si","Local","07/06/1952","Española","Brozas","CÁCERES","10950","ASISTENCIAL-DOCENTE"
"57N","Privada","FUNDACIÓN COLEGIO OFICIAL DE APAREJADORES Y ARQUITECTOS TÉCNICOS DE CÁCERES","G10271732","Intervivos","Si","No","Comunidad Autónoma","21/06/2001","Española","Cáceres","CÁCERES","10004","CULTURAL"
"06/0126","Privada","FUNDACIÓN COLUMELA PARA LA PROMOCIÓN DEL MEDIO RURAL Y LA INDUSTRIA","G06579270","Intervivos","Si","No","Comunidad Autónoma","05/05/2010","Española","Badajoz","BADAJOZ","06001","LABORAL-DOCENTE"
"75N","Sector Público","FUNDACIÓN COMPUTACIÓN Y TECNOLOGÍAS AVANZADAS DE EXTREMADURA (COMPUTAEX)","G10391704","Intervivos","Si","No","Comunidad Autónoma","27/04/2009","Española","Cáceres","CÁCERES","10001","COOPERACIÓN PARA EL DESARROLLO"
"100020-000","Privada","FUNDACIÓN CONDESA DE LA ENCINA","Q1000005G","Mortis Causa","Si","Si","Local","02/07/1958","Española","Brozas","CÁCERES","10950","ASISTENCIAL"
"06/0094","Privada","FUNDACIÓN CONTRIBUTA IULIA","G06388557","Intervivos","Si","No","Comunidad Autónoma","20/01/2003","Española","Medina de las Torres","BADAJOZ","06320","CULTURAL-DOCENTE"
"FDCC-20","Privada","FUNDACIÓN CONVENTO DE LA CORIA",,"Intervivos","No","Si","Comunidad Autónoma","19/08/1981","Española","Trujillo","CÁCERES","10200","CULTURAL"
"89N","Privada","FUNDACIÓN COOPRADO","G10495281","Intervivos","Si","No","Comunidad Autónoma","19/11/2018","Española","Casar de Cáceres","CÁCERES","10190","COOPERACIÓN PARA EL DESARROLLO"
"06/0105","Privada","FUNDACIÓN CULTURA Y ESTUDIOS DE COMISIONES OBRERAS DE EXTREMADURA","G06476485","Intervivos","Si","No","Comunidad Autónoma","29/06/2006","Española","Merida","BADAJOZ","06800","DOCENTE"
"06/0107","Privada","FUNDACIÓN CULTURA Y TRABAJO","G06496483","Intervivos","Si","No","Comunidad Autónoma","24/01/2007","Española","Merida","BADAJOZ","06800","CULTURAL"
"06/0104","Privada","FUNDACIÓN CULTURAL RUY LÓPEZ","G06464259","Intervivos","Si","No","Comunidad Autónoma","31/03/2006","Española","Almendralejo","BADAJOZ","06200","PROMOCIÓN DE LA ACCIÓN SOCIAL"
"06/0075","Privada","FUNDACIÓN CULTURAL SANTA ANA","G06292684","Intervivos","No","No","Comunidad Autónoma","06/11/1998","Española","Almendralejo","BADAJOZ","06200","CULTURAL-DOCENTE"
"06/0033","Privada","FUNDACIÓN D. FRANCISCO CHACÓN CARDENAS",,"Mortis Causa","No","Si","Comarcal","12/04/1947","Española","Puebla de Alcocer","BADAJOZ","06630","ASISTENCIAL"
"06/0031","Privada","FUNDACIÓN D. JOSE SOTO HERNÁNDEZ",,"Mortis Causa","No","Si","Provincial","08/07/1915","Española","Olivenza","BADAJOZ","06100","DOCENTE"
"65N","Privada","FUNDACIÓN DE BENEFICENCIA MUNICIPAL DE VALENCIA DE ALCÁNTARA DON PEDRO","G10337517","Mortis Causa","Si","No","Local","19/12/2005","Española","Valencia de Alcantara","CÁCERES","10500","ASISTENCIAL"
"100030-000","Privada","FUNDACIÓN DE BENEFICENCIA PARTICULAR GUILLÉN CANO BOTE","G10114718","Mortis Causa","Si","Si","Local","01/09/1945","Española","Trujillo","CÁCERES","10200","BENEFICA-ASISTENCIAL"
"06/0102","Privada","FUNDACIÓN DE CIENCIAS NEUROLÓGICAS EXTREMEÑAS",,"Intervivos","Si","No","Comunidad Autónoma","29/06/2005","Española","Badajoz","BADAJOZ","06005","INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO"
"06/0150","Privada","FUNDACIÓN DE ESTUDIOS ASISTENCIALES Y SANITARIOS DE EXTREMADURA (FAE-EX)","G06745467","Intervivos","Si","No","Comunidad Autónoma","21/06/2019","Española","Badajoz","BADAJOZ","06005","SANITARIO"
"06/0116","Privada","FUNDACIÓN DE HERMANOS PARA LA IGUALDAD Y LA INCLUSIÓN SOCIAL","G06528228","Intervivos","Si","No","Comunidad Autónoma","11/02/2008","Española","Merida","BADAJOZ","06800","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0073","Sector Público","FUNDACIÓN DE RELACIONES LABORALES DE EXTREMADURA","G06288815","Intervivos","Si","No","Comunidad Autónoma","21/09/1998","Española","Merida","BADAJOZ","06800","LABORAL"
"62N","Privada","FUNDACIÓN DEL ILUSTRE COLEGIO OFICIAL DE MÉDICOS DE CÁCERES (FUMECA)","G10308484","Intervivos","Si","No","Provincial","07/04/2004","Española","Cáceres","CÁCERES","10001","EDUCATIVA-DOCENTE-CIENTIFICA"
"06/0076","Privada","FUNDACIÓN DEL OLIVAR DE EXTREMADURA (FUNDOLIVA)","G06298111","Intervivos","Si","No","Comunidad Autónoma","08/02/1999","Española","Merida","BADAJOZ","06800","CULTURAL-DOCENTE"
"06/0084","Privada","FUNDACIÓN DEPORTE Y VIDA CLUB DEPORTIVO BADAJOZ",,"Intervivos","No","No","Comunidad Autónoma","15/06/2000","Española","Badajoz","BADAJOZ","06000","CULTURAL-DEPORTIVA"
"06/0149","Privada","FUNDACIÓN DEUTZ BUSINESS SCHOOL","G06736094","Intervivos","Si","No","Comunidad Autónoma","24/01/2019","Española","Zafra","BADAJOZ","06300","FORMACIÓN"
"10/0026","Privada","FUNDACIÓN DOLORES LEAL, VIUDA DE ARCE-CARIDAD CRISTIANA",,"Mortis Causa","No","Si","Local","28/12/1945","Española","Plasencia","CÁCERES","10600","BENEFICA-ASISTENCIAL"
"BAD-1","Privada","FUNDACIÓN DOÑA CIPRIANA GÓMEZ Y GÓMEZ","Q0600297F","Mortis Causa","Si","Si","Local","20/07/1914","Española","Zafra","BADAJOZ","06300","DOCENTE"
"06/0041","Privada","FUNDACIÓN DOÑA DOLORES PIZARRO BORAITA",,"Mortis Causa","No","Si","Local","08/10/1903","Española","Badajoz","BADAJOZ","06002","DOCENTE"
"06/0034","Privada","FUNDACIÓN DOÑA MARTINA FABERO REJA",,"Mortis Causa","No","Si","Local","25/03/1965","Española","Puebla de Alcocer","BADAJOZ","06630","ASISTENCIAL"
"06/0012","Privada","FUNDACIÓN DOÑA MATILDE DIAZ MADROÑERO Y LÓPEZ DE AYALA",,"Mortis Causa","No","Si","Local","03/01/1918","Española","Cabeza del Buey","BADAJOZ","06600","ASISTENCIAL"
"58N","Privada","FUNDACIÓN DR. MARCELIANO SAYANS CASTAÑOS","G10271971","Mortis Causa","Si","No","Comarcal","10/09/2001","Española","Casas del Castañar","CÁCERES","10616","PAZ Y SOLIDARIDAD EN TODO EL MUNDO"
"060039-000","Privada","FUNDACIÓN DUQUESA DE MONTPENSIER","G06010136","Mortis Causa","Si","Si","Comunidad Autónoma","26/07/1963","Española","Valencia del Mombuey","BADAJOZ","06134","BENEFICA-ASISTENCIAL"
"06/0143","Privada","FUNDACIÓN ECOÁNIME","G06695555","Intervivos","Si","No","Comunidad Autónoma","11/04/2016","Española","Don Benito","BADAJOZ","06400","VARIOS"
"56N","Privada","FUNDACIÓN ECOTOPÍA",,"Intervivos","Si","No","Comunidad Autónoma","12/05/2000","Española","Hoyos","CÁCERES","10850","INVESTIGACIÓN"
