"NUMERO REGISTRO","CARACTER","DENOMINACION","CIF","FORMA CONSTITUCIÓN","ADAPTADA LEY 50/2002","TRANSFERIDA ESTADO","AMBITO","FECHA INSCRIPCIÓN","NACIONALIDAD","LOCALIDAD","PROVINCIA","COD. POSTAL","FINES"
"06/0115","Privada","FUNDACIÓN HIJA DE PEPE REYES, DOLORES BAS DE ARÚS","G06512883","Mortis Causa","Si","No","Local","29/01/2008","Española","Badajoz","BADAJOZ","06006","BENEFICA-ASISTENCIAL"
"060013-000","Privada","FUNDACIÓN HOGAR DE ANCIANOS JESÚS NAZARENO DE CABEZA DEL BUEY","G06682470","Mortis Causa","Si","Si","Local","17/07/1948","Española","Cabeza del Buey","BADAJOZ","06600","ASISTENCIAL"
"06/0054","Privada","FUNDACIÓN HOGAR RESIDENCIA FORMACIONISTA NUESTRA SEÑORA DE LOS ANGELES","G0600007I","Mortis Causa","No","Si","Provincial","06/08/1966","Española","Villafranca de los Barros","BADAJOZ","06220","ASISTENCIAL"
"06/0029","Privada","FUNDACIÓN HOSPITAL ASILO D. JOSE BERNALDEZ",,"Mortis Causa","No","Si","Local","05/12/1927","Española","Nogales","BADAJOZ","06173","ASISTENCIAL"
"10/0025","Privada","FUNDACIÓN HOSPITAL DE CONVALECIENTES",,"Mortis Causa","No","Si","Local","12/12/1928","Española","Plasencia","CÁCERES","10600","ASISTENCIAL"
"06/0049","Privada","FUNDACIÓN HOSPITAL DE JESÚS",,"Mortis Causa","No","Si","Local","20/03/1917","Española","Zalamea de la Serena","BADAJOZ","06430","ASISTENCIAL"
"06/0019","Privada","FUNDACIÓN HOSPITAL DE LA SANGRE","G06020077","Mortis Causa","Si","Si","Comunidad Autónoma","25/05/1912","Española","Fuente de Cantos","BADAJOZ","06240","ASISTENCIAL"
"06/0007","Privada","FUNDACIÓN HOSPITAL DE LAS MISERICORDIAS",,"Mortis Causa","No","Si","Local","28/04/1911","Española","Almendral","BADAJOZ","06171","ASISTENCIAL"
"060014-000","Privada","FUNDACIÓN HOSPITAL DE SAN ANTONIO","G06047468","Mortis Causa","Si","Si","Local","17/06/1948","Española","Don Benito","BADAJOZ","06400","SANITARIO"
"06/0016","Privada","FUNDACIÓN HOSPITAL DE SAN BLAS",,"Mortis Causa","No","Si","Local","12/12/1918","Española","Fregenal de la Sierra","BADAJOZ","06340","ASISTENCIAL"
"06/0047","Privada","FUNDACIÓN HOSPITAL DE SAN MIGUEL",,"Mortis Causa","Si","Si","Local","18/11/1914","Española","Zafra","BADAJOZ","06300","ASISTENCIAL"
"06/0046","Privada","FUNDACIÓN HOSPITAL DE SANTIAGO",,"Mortis Causa","No","Si","Local","23/10/1914","Española","Zafra","BADAJOZ","06300","SANITARIO"
"10/0022","Privada","FUNDACIÓN HOSPITAL SAN NICOLÁS DE BARI","Q10001063","Mortis Causa","Si","Si","Comunidad Autónoma","08/01/1896","Española","Coria","CÁCERES","10800","ASISTENCIAL"
"060030-000","Privada","FUNDACIÓN HOSPITAL Y SANTA CASA DE MISERICORDIA","G06016653","Intervivos","Si","Si","Local","15/06/1907","Española","Olivenza","BADAJOZ","06100","ASISTENCIAL"
"06/0111","Privada","FUNDACIÓN IBÉRICA EN REPRODUCCIÓN ASISTIDA","G06510614","Intervivos","Si","No","Comunidad Autónoma","29/06/2007","Española","Badajoz","BADAJOZ","06004","SANITARIO"
"06/0112","Privada","FUNDACIÓN ILUSTRE COLEGIO OFICIAL DE MÉDICOS DE BADAJOZ","G06513741","Intervivos","Si","No","Comunidad Autónoma","10/08/2007","Española","Badajoz","BADAJOZ","06005","BENÉFICO-DOCENTE"
"55N","Privada","FUNDACIÓN INDALECIO HERNANDEZ VALLEJO",,"Intervivos","Si","No","Comunidad Autónoma","11/05/1999","Española","Valencia de Alcantara","CÁCERES","10500","CULTURAL"
"64N","Privada","FUNDACIÓN INPA (INVESTIGACIÓN Y PSICOLOGÍA APLICADA) EXTREMADURA-FRAMAGUAD ","G10298156","Intervivos","Si","No","Comunidad Autónoma","10/06/2005","Española","Cáceres","CÁCERES","10001","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"14,19,22","Privada","FUNDACIÓN JOSÉ BENAVIDES CHECA",,"Mortis Causa","No","Si","Local","02/09/1912","Española","Plasencia","CÁCERES","10600","ASISTENCIAL-DOCENTE"
"06/0147","Privada","FUNDACIÓN JOSÉ GORDILLO","G06724330","Intervivos","Si","No","Comunidad Autónoma","10/01/2018","Española","Fuente del Maestre","BADAJOZ","06360","CULTURAL"
"06/0043","Privada","FUNDACIÓN JOSÉ RAMÓN FERNANDEZ GARCÍA",,"Intervivos","No","Si","Local","23/04/1917","Española","Villanueva del Fresno","BADAJOZ","06110","ASISTENCIAL"
"74N","Sector Público","FUNDACIÓN JÓVENES Y DEPORTE","G10391209","Intervivos","Si","No","Comunidad Autónoma","06/04/2009","Española","Merida","BADAJOZ","06800","CULTURAL-DEPORTIVA"
"10/0040","Privada","FUNDACIÓN JUAN FERNÁNDEZ PAREDES",,"Mortis Causa","Si","Si","Local","12/01/1968","Española","Trujillo","CÁCERES","10200","BENEFICA-ASISTENCIAL"
"100017-000","Privada","FUNDACIÓN JUAN FLORES RENGIFO","G10051514","Mortis Causa","No","Si","Local","26/04/1928","Española","Baños de Montemayor ","CÁCERES","10750","RELIGIOSO-BENEFICA"
"06/0146","Privada","FUNDACIÓN JUAN GIRALDO VENEGAS","G06715569","Intervivos","Si","No","Comunidad Autónoma","05/06/2017","Española","Merida","BADAJOZ","06800","ASISTENCIAL"
"92N","Privada","FUNDACIÓN JUAN JOSÉ RUBIO LIEBANA Y RODRÍGUEZ DONAIRE","G10505634","Mortis Causa","Si","No","Local","16/06/2020","Española","Valdefuentes","CÁCERES","10180","DOCENTE"
"06/0070","Privada","FUNDACIÓN JUAN UÑA PARA LA EDUCACIÓN Y EL DESARROLLO EN EXTREMADURA","G06267694","Intervivos","Si","No","Comunidad Autónoma","12/11/1997","Española","Badajoz","BADAJOZ","06002","CULTURAL-DOCENTE"
"100023-000","Privada","FUNDACIÓN LA SOLEDAD Y SAN MANUEL","G28770089","Mortis Causa","Si","Si","Local","09/07/1960","Española","Madrid","MADRID","28013","ASISTENCIAL-DOCENTE"
"80N","Privada","FUNDACIÓN LAURA OTERO","G10427417","Intervivos","Si","No","Local","04/11/2013","Española","Miajadas","CÁCERES","10100","CULTURAL"
"06/0153","Privada","FUNDACIÓN LUIS COSTILLO PEREDA","G42995241","Intervivos","Si","No","Comunidad Autónoma","13/04/2021","Española","Badajoz","BADAJOZ","06002","CULTURAL"
"94N","Privada","FUNDACIÓN LUMBINI GARDEN","G88464979","Intervivos","Si","No","Comunidad Autónoma","25/03/2021","Española","Cáceres","CÁCERES","10001","SOCIO CULTURAL"
"06/0096","Privada","FUNDACIÓN MAGDALENA MORICHE","G06399554","Intervivos","Si","No","Comunidad Autónoma","01/10/2003","Española","Badajoz","BADAJOZ","06800","CULTURAL-DOCENTE"
"06/0085","Privada","FUNDACIÓN MAIMONA","G06330088","Intervivos","Si","No","Local","22/09/2000","Española","Santos de Maimona (Los)","BADAJOZ","06230","CULTURAL-DOCENTE"
"06/0089","Privada","FUNDACIÓN MANUEL ALVAREZ SUERO",,"Intervivos","No","No","Comunidad Autónoma","15/04/2002","Española","Zafra","BADAJOZ","06300","ASISTENCIAL"
"52N","Privada","FUNDACIÓN MANUEL BEITES LOPEZ","G10250066","Intervivos","Si","No","Local","15/12/1999","Española","Jaraiz de la Vera","CÁCERES","10400","ASISTENCIAL"
"06/0142","Privada","FUNDACIÓN MARÍA BEJAR","G06683890","Intervivos","Si","No","Comunidad Autónoma","11/08/2015","Española","Guareña","BADAJOZ","06470","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"93N","Privada","FUNDACIÓN MEDIAMBIENTAL","G96154752","Intervivos","Si","No","Comunidad Autónoma","08/10/2020","Española","Puçol","VALENCIA","46530","DEFENSA DEL MEDIO AMBIENTE"
"59N","Privada","FUNDACIÓN MERCEDES CALLES Y CARLOS BALLESTERO","G10274819","Mortis Causa","Si","No","Comunidad Autónoma","27/11/2002","Española","Cáceres","CÁCERES","10001","CULTURAL"
"06/0148","Privada","FUNDACIÓN MUÑOZ TORRERO","G06729180","Intervivos","Si","No","Comunidad Autónoma","22/05/2018","Española","Cabeza del Buey","BADAJOZ","06600","CULTURAL"
"06/0156","Privada","FUNDACIÓN MUSEO EXTREMEÑO PARA LA CIENCIA Y LA TECNOLOGÍA (MECYT)","G06758460","Intervivos","Si","No","Comunidad Autónoma","02/11/2022","Española","Badajoz","BADAJOZ","06000","EDUCATIVA-DOCENTE-CIENTIFICA"
"FDCC-5","Privada","FUNDACIÓN NUESTRA SEÑORA DEL CARMEN","G10022200","Intervivos","No","Si","Local","07/07/1928","Española","Madroñera","CÁCERES","10210","DOCENTE"
"06/0002","Privada","FUNDACIÓN OBRA PÍA CATALINA DE VARGAS",,"Mortis Causa","No","Si","Local","16/03/1946","Española","Badajoz","BADAJOZ","06000","ASISTENCIAL"
"06/0009","Privada","FUNDACIÓN OBRA PIA D. BLAS MARQUEZ MORENO",,"Mortis Causa","No","Si","Local","22/10/1910","Española","Bodonal de la Sierra","BADAJOZ","06394","ASISTENCIAL"
"06/0024","Privada","FUNDACIÓN OBRA PIA DE DIEGO BECERRIL",,"Mortis Causa","No","Si","Local","22/02/1902","Española","Jerez de los Caballero","BADAJOZ","06380","ASISTENCIAL"
"060004-000","Privada","FUNDACIÓN OBRA PÍA DE DON EMILIO MACÍAS","G06101919","Mortis Causa","No","Si","Local","19/11/1929","Española","Badajoz","BADAJOZ","06005","ASISTENCIAL"
"06/0017","Privada","FUNDACIÓN OBRA PÍA DE DON JUAN BRAVO MURILLO",,"Mortis Causa","No","Si","Local","23/11/1917","Española","Fregenal de la Sierra","BADAJOZ","06340","ASISTENCIAL"
"FDCC-4","Privada","FUNDACIÓN OBRA PÍA DE DON VICENTE MARRÓN",,"Mortis Causa","Si","Si","Local","28/03/1900","Española","Cáceres","CÁCERES","10003","DOCENTE"
"FDCC-6","Privada","FUNDACIÓN OBRA PÍA DE OSORIO","Q1000005G","Mortis Causa","No","Si","Local","13/04/1910","Española","Coria","CÁCERES","10800","BENÉFICO-DOCENTE"
