"NUMERO","NOMBRE","PROVINCIA","LOCALIDAD","CP","ALTA"
"100138","TABACO SIERRA DE GREDOS","CÁCERES","SANTA MARIA DE LAS LOMAS / TALAYUELA","10318",20/10/2010
"000760","SANTO CRISTO","CÁCERES","SANTIBAÑEZ EL BAJO","10666",22/06/1982
"004765","LAS CAÑADAS","CÁCERES","SERREJON","10528",11/07/1983
"004331","NAVESTA","CÁCERES","TALAYUELA","10310",02/02/1983
"006007","ROSALEJO-TABACO","CÁCERES","TALAYUELA","10391",09/07/1985
"006022","TABALTIETAR","CÁCERES","TALAYUELA","10319",18/07/1985
"006623","GRANEXCA","CÁCERES","TALAYUELA","10310",10/04/1986
"008155","GRUPO PALANCOSO","CÁCERES","TALAYUELA","10310",24/10/1988
"008794","AGRICOLA LOS PASOS","CÁCERES","TALAYUELA","10310",13/06/1990
"008859","AGRIMOR","CÁCERES","TALAYUELA","10310",04/10/1990
"009322","TABACOS DE TALAYUELA","CÁCERES","TALAYUELA","10310",19/02/1993
"009478","HERMANOS BREÑAS","CÁCERES","TALAYUELA","10310",23/02/1994
"100144","TAPIEX","CÁCERES","TALAYUELA","10310",18/07/2011
"100170","INTEGRO","CÁCERES","TALAYUELA","10310",17/12/2019
"008318","EL PANTANO","CÁCERES","TEJEDA","10420",09/02/1989
"005511","TANORCA","CÁCERES","TIETAR","10319",27/08/1984
"006113","TABACNORTE","CÁCERES","TIETAR","10319",19/09/1985
"006642","FLOR DE ORO","CÁCERES","TIETAR","10319",07/04/1986
"100029","HOJAS SECAS","CÁCERES","TIETAR","10319",04/10/1999
"007055","ESPACAR","CÁCERES","TORIL","10520",26/11/1986
"007898","CAPRINA VIRGEN DE LAS CANDELAS","CÁCERES","TORNAVACAS","10611",09/05/1988
"100173","OLEOMIEL GATA-HURDES","CÁCERES","TORRECILLA DE LOS ANGELES","10869",16/11/2021
"002529","NUESTRA SEÑORA DEL PUERTO","CÁCERES","TORREJON EL RUBIO","10694",30/09/1982
"009541","BERZALEJO NORTE","CÁCERES","TORREJON EL RUBIO","10694",06/06/1994
"008894","TORREMOCHA","CÁCERES","TORREMOCHA","10184",30/11/1990
"006493","ATAECINA","CÁCERES","TRUJILLO","10200",21/02/1986
"100073","HERMANOS HIDALGO","CÁCERES","VALDEFUENTES","10180",25/03/2002
"000215","TAVAL","CÁCERES","VALVERDE DE LA VERA","10490",30/03/1982
"005632","EL CARRIL","CÁCERES","VALVERDE DE LA VERA","10490",30/10/1984
"003419","LA MINA Y VILLALBA","CÁCERES","VILLAMIEL","10893",25/10/1982
"005834","LA LAGUNA","CÁCERES","VILLANUEVA DE LA VERA","10470",14/03/1985
"100131","TABACOS DE VEGANUEVA","CÁCERES","VILLANUEVA DE LA VERA","10470",11/08/2008
"002548","EL CAMPILLO","CÁCERES","ZARZA DE GRANADILLA","10710",05/10/1982
"100067","CAVA","CÁCERES","ZARZA DE GRANADILLA","10710",19/09/2001
"002198","SAN ANDRES","CÁCERES","ZARZA LA MAYOR","10880",23/09/1982
"004674","LA ZORITEÑA","CÁCERES","ZORITA","10130",30/05/1983
