"Nregistro","Ambito","Provincia","Fregistro","Nombre","Domicilio","Dlocalidad","CodPostal","fines"
1581,"Provincial","Badajoz",11/01/91,"ASOCIACIÓN DE MUJERES DE MALPARTIDA DE LA SERENA","c/ Enrique Sánchez de León, nº 48","MALPARTIDA DE LA SERENA","06440"," CULTURALES, OTRAS"
1581,"Provincial","Cáceres",15/12/92,"CULTURAL FLOR DE LA JARA","TESITO ELIVERA, 32","PERALES DEL PUERTO","10896"," CULTURALES, OTRAS"
1582,"Provincial","Badajoz",11/01/91,"ASOCIACION DE MUJERES DE OLIVA DE LA FRONTERA","C/ Altozano, nº 57","OLIVA DE LA FRONTERA","06120"," CULTURALES, OTRAS"
1582,"Autonómico","Cáceres",15/12/92,"CULTURAL CLUB LOS ZORZALES","Avdª Virgen de Guadalupe 27, 1º E.","CÁCERES",," CULTURALES, OTRAS"
1583,"Provincial","Badajoz",15/01/91,"CONVERGENCIA FEMENINA EXTREMADURA","AVDA. AMERICA, BL. 3-ESC 2-4º-A","ALMENDRALEJO","06200"," CULTURALES, OTRAS"
1583,"Provincial","Cáceres",22/12/92,"CULTURAL CINE FORUM VITOANA","LA FLOR, 9-2º DCHA","MORALEJA","10840"," CULTURALES, OTRAS"
1584,"Provincial","Badajoz",16/01/91,"PENSIONISTAS","Plaza de España, nº 2","MALPARTIDA DE LA SERENA","06440"," PERSONAS MAYORES, PROPIETARIOS, VECINOS"
1584,"Local","Cáceres",23/12/92,"DE VECINOS LA SERRANA DE GARGANTA LA OLLA","Ayuntamiento, buzon 6","GARGANTA LA OLLA","10412"," PERSONAS MAYORES, PROPIETARIOS, VECINOS"
1585,"Provincial","Badajoz",17/01/91,"ASOCIACIÓN DE PENSIONISTAS Y JUBILADOS DE MONTIJO","C/ Conquistadores, nº 9","MONTIJO","06480"," MADRES Y PADRES DE ALUMNOS, PERSONAS MAYORES"
1585,"Comarcal","Cáceres",07/01/93,"APA PONCE DE LEÓN DEL C.E.E. PONCE DE LEON","PEDRO Y FRANCISCO GONZÁLEZ, S/N","PLASENCIA","10600"," MADRES Y PADRES DE ALUMNOS, PERSONAS MAYORES"
1586,"Autonómico","Badajoz",17/01/91,"ASOCIACIÓN DE PADRES DE PERSONAS  CON AUTISMO DE BADAJOZ","C/ Felix Fernández Torrado, s/n.","BADAJOZ",," OTRAS, SERVICIOS SANITARIOS"
