"Nregistro","Ambito","Provincia","Fregistro","Nombre","Domicilio","Dlocalidad","CodPostal","fines"
1,"Provincial","Badajoz",12/12/77,"FEDERACION PROVINCIAL DE ASOC FAMILIARES","AV GRAL VARELA 2","BADAJOZ",," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
1,"Autonómico","Badajoz",04/09/00,"ASOC. JUVENIL MINERVA DE MANCHITA","C/ Arriba, 2","MANCHITA","06478"," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
1,"Local","Cáceres",09/07/65,"CABEZAS DE FAMILIA","BRAULIO NAVA, 14","HERVÁS","10700"," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
1,"Provincial","Cáceres",25/03/81,"FEDERACION CATOLICA DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE CACERES","SAN PEDRO DE ALCANTARA 9","CÁCERES",," INFANCIA, JÓVENES, PERSONAS MAYORES, FAMILIA Y BIENESTAR, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
2,"Local","Badajoz",02/10/65,"CENTRO DE INICIATIVAS TURÍSTICAS DE LLERENA","C/ Prolongación Ollerías, s/n","LLERENA","06900"," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
2,"Provincial","Badajoz",04/04/78,"FEDERACION DE ASOCIACIONES PROTECTORAS DE SUBNORMALES DE BADAJOZ","Avda. Sta. Marina, 5, A","DESCARGAMARIA","10866"," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
2,"Local","Cáceres",08/07/65,"CABEZAS DE FAMILIA","PLAZA DE ESPAÑA, 1","VALENCIA DE ALCÁNTARA","10500"," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
2,"Provincial","Cáceres",21/12/83,"FED. DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA  ""COCEMFE-CACERES""","Pierre de Coubertain 5,","CÁCERES",," DE PROFESIONALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, IGUALDAD DE TRATO Y NO DISCRIMINACIÓN POR OTROS MOTIVOS, SERVICIOS SANITARIOS, TAURINAS, TURISMO"
3,"Local","Badajoz",08/01/66,"Centro de Instrucción y Recreo","Plaza de España nº3","VILLAFRANCA DE LOS BARROS","06220"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Provincial","Badajoz",19/07/01,"ASOC. PEÑA CULTURAL TAURINA ""EL MORRILLO""","C/ CRUZ, 12","CABEZA DEL BUEY","06600"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Local","Cáceres",25/10/65,"CIRCULO DE ARTISTAS DE GARROVILLAS","C/ Ramón y Cajal, 80","GARROVILLAS","10940"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Provincial","Cáceres",27/11/65,"CIRCULO CULTURAL JUAN VAZQUEZ DE MELLA","PIZARRO, 11","CÁCERES",," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
3,"Autonómico","Cáceres",12/07/84,"EXT. DE ASOCIACIONES DE PADRES DE ALUMNOS","AVD. ANTONIO HURTADO 15, 3ºD","CÁCERES",," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, CIENCIAS, CULTURALES, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
4,"Local","Badajoz",17/01/66,"Circulo La Unión","Meléndez Valdés nº 12","RIBERA DEL FRESNO","06225"," CIENCIAS, CÍVICO-POLÍTICAS, CULTURALES, MUSICALES, PROPIETARIOS, VECINOS, TAURINAS"
4,"Provincial","Badajoz",19/05/81,"FEDERACION DE ASOCIACIONES DE VECINOS, CONSUMIDORES Y USUARIOS AUGUSTA EMERITA","Camilo Jose Cela, 7","MERIDA","06800"," CIENCIAS, CÍVICO-POLÍTICAS, CULTURALES, MUSICALES, PROPIETARIOS, VECINOS, TAURINAS"
4,"Provincial","Cáceres",19/11/65,"HERMANDAD EXCOMBATIENTES DIVISIÓN AZUL","JEFATURA PROVINCIAL DE MOVIMIENTO","CÁCERES",," CIENCIAS, CÍVICO-POLÍTICAS, CULTURALES, MUSICALES, PROPIETARIOS, VECINOS, TAURINAS"
4,"Comarcal","Cáceres",11/06/86,"CULTURALES, DEPORTIVAS, MONTAÑA ""SIERRA GATA""","PLAZA MAYOR, 1","HOYOS","10850"," CIENCIAS, CÍVICO-POLÍTICAS, CULTURALES, MUSICALES, PROPIETARIOS, VECINOS, TAURINAS"
5,"Local","Badajoz",17/01/66,"ASOCIACION EL EJEMPLO","Plaza de España nº 8","PUEBLA DE LA CALZADA","06490"," CIENCIAS, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
5,"Provincial","Cáceres",19/11/65,"HERMANDAD COMBATIENTES DE TERCIOS DE REQUETES","PIZARRO, 11","CÁCERES",," CIENCIAS, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
5,"Provincial","Cáceres",06/02/87,"ANTIGUOS ALUMNOS DE ENSEÑANZA CATOLICA","MÉDICO SORAPÁN, 21","CÁCERES",," CIENCIAS, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, OTRAS, TAURINAS"
6,"Local","Badajoz",17/01/66,"SOCIEDAD CULTURAL Y RECREATIVA ""ATENEO LLERENENSE""","C/ Santiago nº 51","LLERENA","06900"," ASOCIACIONES VINCULADAS A ORGANIZACIONES INTERNACIONALES, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
6,"Provincial","Badajoz",03/07/81,"FEDERACION DE APAS DE INSTITUTOS DE BACHILLERATO DE LA PROVINCIA","Inst. Bach. Rodríguez Moñino","BADAJOZ",," ASOCIACIONES VINCULADAS A ORGANIZACIONES INTERNACIONALES, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
6,"Provincial","Badajoz",02/03/98,"ASOC. VECINOS BARRIADA DE LLERA ""CERRO EL VIENTO""","CRTA. DE OLIVENZA KLM. 2, Nº 11","BADAJOZ",," ASOCIACIONES VINCULADAS A ORGANIZACIONES INTERNACIONALES, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
6,"Local","Cáceres",28/10/65,"CIRCULO DE LA UNION, DE MALPARTIDA DE CACERES","PZ. DEL GENERALISIMO, 18","MALPARTIDA DE CÁCERES","10910"," ASOCIACIONES VINCULADAS A ORGANIZACIONES INTERNACIONALES, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
6,"Provincial","Cáceres",19/11/65,"HERMANDAD ANTIGUOS CABALLEROS LEGIONARIOS","GENERAL MARGALLO, 66","CÁCERES",," ASOCIACIONES VINCULADAS A ORGANIZACIONES INTERNACIONALES, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
6,"Autonómico","Cáceres",21/01/88,"CONSUMIDORES DE LA COMUNIDAD EXTREMEÑA","AVD. BONDAD, 6. CENTRO SOCIAL","CÁCERES",," ASOCIACIONES VINCULADAS A ORGANIZACIONES INTERNACIONALES, CÍVICO-POLÍTICAS, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
7,"Provincial","Badajoz",17/01/66,"Casa Regional de Valencia","General Primo de Rivera nº8","BADAJOZ",," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, MUSICALES, PEÑAS, CLUBES, CASAS REGIONALES"
7,"Provincial","Badajoz",14/01/83,"FEDERACION DE ENTIDADES FLAMENCAS DE EXTREMADURA","c/ Porrina de Badajoz nº 47. Apdo. de Correos 660","BADAJOZ",," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, MUSICALES, PEÑAS, CLUBES, CASAS REGIONALES"
7,"Local","Cáceres",28/10/65,"CIRCULO LA AMISTAD DE MALPARTIDA DE CACERES","C/ CALVO SOTELO, 1","MALPARTIDA DE CÁCERES","10910"," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, MUSICALES, PEÑAS, CLUBES, CASAS REGIONALES"
7,"Local","Cáceres",24/11/65,"CABEZAS DE FAMILIA","ZAPATERIA, 53","ALCÁNTARA","10980"," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, MUSICALES, PEÑAS, CLUBES, CASAS REGIONALES"
7,"Local","Cáceres",29/01/89,"LOCAL DE ASOCIACIONES DE PADRES DE ALUMNOS","SAN PEDRO, 6","CÁCERES",," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, MUSICALES, PEÑAS, CLUBES, CASAS REGIONALES"
8,"Local","Badajoz",17/01/66,"CASINO ""LA CONCORDIA""","Avenida del General Franco nº28","ALBURQUERQUE","06510"," MUSICALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES"
8,"Provincial","Badajoz",28/03/85,"FEDERACIÓN CATÓLICA DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE BADAJOZ, FECAPA-BADAJOZ","Avda. Juan Pereda Pila, 14","BADAJOZ",," MUSICALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES"
8,"Provincial","Cáceres",28/10/65,"CENTRO DE ESTUDIOS HISTORICOS DE CACERES","PZ. DE LA CONCEPCION,8","CÁCERES",," MUSICALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES"
8,"Provincial","Cáceres",10/02/66,"CATEDRATICOS DE INSTITUTOS NACIONALES DE ENSEÑANZA","INSTITUTO EL BROCENSE. AVD. CIUDAD DEPORTIVA","CÁCERES",," MUSICALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES"
8,"Autonómico","Cáceres",29/03/89,"EXTREMEÑA DE CORALES","AVDª DE EXTREMADURA 1, 4º","MERIDA","06800"," MUSICALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES"
9,"Provincial","Badajoz",18/01/66,"REAL SOCIEDAD ECONOMICA EXTREMEÑA AMIGOS DEL PAIS, declarada de Utilidad Pública (12-04-2004).","c/ Hernán Cortés nº 1","BADAJOZ",," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
9,"Provincial","Badajoz",11/10/85,"FEDERACION DE ASOCIACIONES DE ANT. ALUM. DE ENSEÑANZA CATOLICA","Colegio Josefinas","BADAJOZ",," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
9,"Local","Cáceres",11/04/66,"CABEZAS DE FAMILIA","JEFATURA PROVINCIAL DEL MOVIMIENTO","CÁCERES",," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
9,"Comarcal","Cáceres",02/10/89,"DE PADRES DE ALUMNOS DE LA COMARCA DE LA VERA","CASA DE JEROMÍN","CUACOS DE YUSTE","10430"," CIENCIAS, FAMILIA, MADRES Y PADRES DE ALUMNOS, OTRAS"
10,"Local","Cáceres",12/01/66,"SOCIEDAD DE RECREO ""CENTRO MORALO""","C/ MEDELLÍN, ""CENTRO MORALO""","NAVALMORAL DE LA MATA","10300"," FAMILIA, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES"
10,"Local","Cáceres",11/04/66,"CABEZAS DE FAMILIA","HERMANDAD SINDIACAL","VILLANUEVA DE LA VERA","10470"," FAMILIA, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES"
10,"Local","Cáceres",09/10/89,"PADRES DE ALUMNOS DE LA ZONA DE MIAJADAS","AVD. CRUZ DE LOS PAJARES, 110","MIAJADAS","10100"," FAMILIA, MADRES Y PADRES DE ALUMNOS, PEÑAS, CLUBES, CASAS REGIONALES"
11,"Provincial","Badajoz",30/01/86,"FEDERACION DE APAS DE LOS COLEGIOS DE VILLANUEVA DE LA SERENA","C.P. Conquistadores","VILLANUEVA DE LA SERENA","06700"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, MADRES Y PADRES DE ALUMNOS, OTRAS, OTRAS DE SOLIDARIDAD, PERSONAS MAYORES"
11,"Local","Cáceres",12/01/66,"UNION DE CANARICULTORES EXTREMEÑOS DE CACERES","C/SANTO DOMINGO, 9","CÁCERES",," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, MADRES Y PADRES DE ALUMNOS, OTRAS, OTRAS DE SOLIDARIDAD, PERSONAS MAYORES"
11,"Local","Cáceres",02/09/66,"HERMANDAD NUESTRA SEÑORA DE SOPETRAN","ALMOHARIN","ALMOHARIN","10132"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, MADRES Y PADRES DE ALUMNOS, OTRAS, OTRAS DE SOLIDARIDAD, PERSONAS MAYORES"
11,"Comarcal","Cáceres",09/11/89,"FED DE ASOCIACONES DE MAYORES DE LA COMARCA DE LA VERA","AVD. DE LA CONSTITUCIÓN, 7","JARAIZ DE LA VERA","10400"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, MADRES Y PADRES DE ALUMNOS, OTRAS, OTRAS DE SOLIDARIDAD, PERSONAS MAYORES"
12,"Local","Badajoz",27/01/66,"CIRCULO LA AMISTAD","C/ Fuente nº 3","BERLANGA","06930"," CIENCIAS, MADRES Y PADRES DE ALUMNOS, OTRAS DE SOLIDARIDAD, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
12,"Local","Badajoz",18/01/67,"SOCIEDAD DE SOCORROS MUTUOS LA PROTECTORA","BDA. OBRERA, O","TRUJILLANOS","06892"," CIENCIAS, MADRES Y PADRES DE ALUMNOS, OTRAS DE SOLIDARIDAD, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
12,"Provincial","Badajoz",13/08/86,"FEDERACIÓN EXTREMEÑA DE HERMANDADES DE DONANTES DE SANGRE","Hospital Insalud","MERIDA","06800"," CIENCIAS, MADRES Y PADRES DE ALUMNOS, OTRAS DE SOLIDARIDAD, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
12,"Local","Cáceres",13/01/66,"SOCIEDAD RECREATIVA LA CONCORDIA DE BROZAS","C/ EL BROCENSE,8","BROZAS","10950"," CIENCIAS, MADRES Y PADRES DE ALUMNOS, OTRAS DE SOLIDARIDAD, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
12,"Local","Cáceres",18/01/67,"SOCIEDAD DE SOCORRROS MUTUOS LA PROTECTORA","BDA. OBRERA, O","TRUJILLANOS","06892"," CIENCIAS, MADRES Y PADRES DE ALUMNOS, OTRAS DE SOLIDARIDAD, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
13,"Local","Badajoz",27/01/66,"CASINO DE GUAREÑA","C/ Martires nº 1","GUAREÑA","06470"," CULTURALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
13,"Provincial","Badajoz",31/03/87,"FED. COORDINADORA DE ASOCIACIONES VECINALES DE ALMENDRALEJO","C/ José Luis Mesías, 4","ALMENDRALEJO","06200"," CULTURALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
13,"Provincial","Cáceres",17/08/66,"PROFESORES ADJUNTOS DE INSTITUTOS DE ENSEÑANZA MED","OFICINAS DEL S.E.P.","CÁCERES",," CULTURALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
13,"Autonómico","Cáceres",07/12/89,"CASAS Y CENTROS REGIONALES Y PROVINCIALES","GIL CORDERO, 15 Y SAN PEDRO 6","CÁCERES",," CULTURALES, OTRAS, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
14,"Local","Badajoz",03/02/66,"ASOCIACION CASINO DE BADAJOZ","C/ Ramón Albarrán nº 14 y Club de Campo. Vaguadas","BADAJOZ",," FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
14,"Provincial","Badajoz",06/11/87,"FEDERACION DE ASOCIACIONES VECINALES DE BADAJOZ Y SU PROVINCIA (AA.VV.)","c/ Padre Tomás, nº 2","BADAJOZ",," FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
14,"Local","Cáceres",13/01/66,"CIRCULO LA PEÑA, DE BAÑOS DE MONTEMAYOR","AVDA. CALVO SOTELO, 7","BAÑOS DE MONTEMAYOR","10750"," FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
14,"Local","Cáceres",09/12/66,"CABEZAS DE FAMILIA","JOSE ANTONIO, 5","MALPARTIDA DE PLASENCIA","10680"," FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, PROPIETARIOS, VECINOS"
15,"Local","Badajoz",03/02/66,"ASOCIACIÓN CIRCULO ""LA UNION""","C/ Calvo Sotelo nº1","FUENTES DE LEON","06280"," CIENCIAS, CULTURA POPULAR, GASTRONOMÍA, FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
15,"Provincial","Badajoz",24/11/87,"FEDERACIÓN DE ALCOHÓLICOS REHABILITADOS EXTREMEÑOS - FALREX","C/ LEGION V, S/N","MERIDA","06800"," CIENCIAS, CULTURA POPULAR, GASTRONOMÍA, FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
15,"Local","Cáceres",13/01/66,"CIRCULO DE LA AMISTAD","PZ. D. FAUSTINO CASTELLANO, 7","HERVÁS","10700"," CIENCIAS, CULTURA POPULAR, GASTRONOMÍA, FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
15,"Local","Cáceres",08/06/67,"CABEZAS DE FAMILIA","GENERAL FRANCO","TORREJONCILLO","10830"," CIENCIAS, CULTURA POPULAR, GASTRONOMÍA, FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
15,"Local","Cáceres",20/03/90,"AGRUPACIÓN MORALA DE CARNAVAL","ANTONIO CONCHA, 12","NAVALMORAL DE LA MATA","10300"," CIENCIAS, CULTURA POPULAR, GASTRONOMÍA, FAMILIA, PEÑAS, CLUBES, CASAS REGIONALES, SERVICIOS SANITARIOS"
16,"Local","Badajoz",03/02/66,"Circulo Unión Agrícola Cultural y Recreativa","Plaza del Ejercito nº 12","HINOJOSA DEL VALLE","06226"," CIENCIAS, FAMILIA, OTRAS, PROPIETARIOS, VECINOS"
16,"Provincial","Badajoz",24/11/87,"FEDERACION FILATÉLICA EXTREMEÑA (FE.FI.EX.)","Pasaje de San Juan, local 2 J","BADAJOZ",," CIENCIAS, FAMILIA, OTRAS, PROPIETARIOS, VECINOS"
16,"Local","Cáceres",29/12/66,"CABEZAS DE FAMILIA","PLAZA DE ESPAÑA, 7","ZORITA","10130"," CIENCIAS, FAMILIA, OTRAS, PROPIETARIOS, VECINOS"
17,"Provincial","Badajoz",07/02/66,"ASOCIACIÓN ""APROSUBA 3 PLENA INCLUSIÓN BADAJOZ"", declarada de utilidad pública (20-02-1970)","C/ GOMEZ DE SOLIS Nº 6","BADAJOZ",," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, MADRES Y PADRES DE ALUMNOS, PROPIETARIOS, VECINOS, TAURINAS"
17,"Provincial","Badajoz",14/01/88,"FEDERACION LOCAL DE APAS DE CENTROS DE ENSEÑANZA","Casa de la Cultura","CABEZA DEL BUEY","06600"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, MADRES Y PADRES DE ALUMNOS, PROPIETARIOS, VECINOS, TAURINAS"
17,"Local","Cáceres",29/12/66,"CABEZAS DE FAMILIA","PLAZA ESPAÑA, 1","PLASENCIA","10600"," ASISTENCIALES A PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, DERECHOS DE PERSONAS CON DISCAPACIDAD Y/O EN SITUACIÓN DE DEPENDENCIA, FAMILIA, MADRES Y PADRES DE ALUMNOS, PROPIETARIOS, VECINOS, TAURINAS"
18,"Local","Badajoz",08/02/66,"Asociación de Agricultores","Plaza de España nº 4","SANTOS DE MAIMONA, LOS","06230"," CIENCIAS, CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, FAMILIA, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO"
18,"Provincial","Badajoz",20/07/88,"FEDERACION DE ARTISTAS PLASTICOS DE EXTREMADURA","La Bomba, 16, bajo","BADAJOZ",," CIENCIAS, CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, FAMILIA, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO"
18,"Local","Cáceres",29/12/66,"CABEZAS DE FAMILIA","PLAZA MAYOR, 3","MALPARTIDA DE PLASENCIA","10680"," CIENCIAS, CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, FAMILIA, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO"
18,"Provincial","Cáceres",12/07/91,"EXTREMEÑA DE AMAS DE CASA, CONSUMIDORES Y USUARIOS","AVD/ Isabel de Moctezuma 35","CÁCERES",," CIENCIAS, CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, FAMILIA, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO"
18,"Autonómico","Cáceres",12/07/91,"AMAS DE CASA, CONSUMIDORES Y USUARIOS DE CÁCERES","AVD. ESPAÑA, 8","CÁCERES",," CIENCIAS, CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, FAMILIA, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO"
19,"Autonómico","Badajoz",07/10/88,"FEDERACION EXTREMEÑA DE FOLKLORE (F.E.F.)","C/ Agustina de Aragón, 10, bajo","BADAJOZ",," CULTURA POPULAR, GASTRONOMÍA, CULTURALES, FAMILIA, OTRAS, PROPIETARIOS, VECINOS"
19,"Local","Cáceres",22/12/66,"CABEZAS DE FAMILIA","JOSE ANTONIO","ARROYO DE LA LUZ","10900"," CULTURA POPULAR, GASTRONOMÍA, CULTURALES, FAMILIA, OTRAS, PROPIETARIOS, VECINOS"
20,"Provincial","Badajoz",09/02/66,"Circulo de Estudios ""Donoso Cortés""","C/ Gurugú, nº 1","BADAJOZ",," CIENCIAS, CULTURALES, FAMILIA, FESTEJOS, OCIO, TIEMPO LIBRE, PEÑAS, CLUBES, CASAS REGIONALES"
20,"Provincial","Badajoz",14/11/88,"FEDERACION DE ASOCIACIONES LOCALES DEL CARNAVAL PACENSE, F.A.L.C.A.P.","Pasaje de San Juan, Local Comercial nº 3","BADAJOZ",," CIENCIAS, CULTURALES, FAMILIA, FESTEJOS, OCIO, TIEMPO LIBRE, PEÑAS, CLUBES, CASAS REGIONALES"
20,"Local","Cáceres",18/02/66,"CASINO NUEVA CONCORDIA DE CORIA","C/ JOSE CANALEJAS, 17","CORIA","10800"," CIENCIAS, CULTURALES, FAMILIA, FESTEJOS, OCIO, TIEMPO LIBRE, PEÑAS, CLUBES, CASAS REGIONALES"
20,"Local","Cáceres",10/05/67,"CABEZAS DE FAMILIA","PLAZUELA SAN JUAN","CORIA","10800"," CIENCIAS, CULTURALES, FAMILIA, FESTEJOS, OCIO, TIEMPO LIBRE, PEÑAS, CLUBES, CASAS REGIONALES"
20,"Local","Cáceres",20/04/96,"CONSEJO LOCAL DE LA JUVENTUD","AVD.  CONSTITUCIÓN, 12","MORALEJA","10840"," CIENCIAS, CULTURALES, FAMILIA, FESTEJOS, OCIO, TIEMPO LIBRE, PEÑAS, CLUBES, CASAS REGIONALES"
21,"Local","Badajoz",18/02/66,"Circulo de Labradores","C/ Herrador nº11","MEDINA DE LAS TORRES","06320"," CIENCIAS, CÍVICO-POLÍTICAS, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, FAMILIA, MADRES Y PADRES DE ALUMNOS"
