Número,Provincia,Localidad,Dirección de la instalación,Ubicación,HUSO,Modo de carga,Potencia,Titular,Longitud,Latitud
59,CÁCERES,Alcántara,Ctra. Del Poblado de Iberdrola,Hotel,29,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.8792564864523578,39.72037146136259
60,CÁCERES,Alcántara,Ctra. Del Poblado de Iberdrola,Hotel,29,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.8792564864523578,39.72037146136259
61,CÁCERES,Alcántara,AVENIDA DE MÉRIDA 1,Vía pública,29,3,43.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.8819210621648778,39.71582701477052
62,CÁCERES,CACERES,SAN JUSTO 15,PARKING HOTEL,29,3,22.0,NORBA PROMOTORA SAN ANTONIO SL,-0.3716111115167427,39.47749999867765
63,CÁCERES,CACERES,SAN JUSTO 15,PARKING HOTEL,29,3,22.0,NORBA PROMOTORA SAN ANTONIO SL,-0.3716111115167427,39.47749999867765
64,CÁCERES,CACERES,SAN JUSTO 15,PARKING HOTEL,29,3,22.0,NORBA PROMOTORA SAN ANTONIO SL,-0.3716111115167427,39.47749999867765
65,CÁCERES,CACERES,SAN JUSTO 15,PARKING HOTEL,29,3,22.0,NORBA PROMOTORA SAN ANTONIO SL,-0.3716111115167427,39.47749999867765
66,CÁCERES,Cáceres,"Avda. Virgen de Guadalupe, 28",Hotel,29,3,11.0,"Expansión Turística de Extremadura, S.A.U.",-0.384164489389133,39.46931604619236
67,CÁCERES,Cáceres,"Avda. Virgen de Guadalupe, 28",Hotel,29,3,11.0,"Expansión Turística de Extremadura, S.A.U.",-0.384164489389133,39.46931604619236
68,CÁCERES,Cáceres,RONDA DE SAN FRANCISCO,Aparcamiento público,29,3,43.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.3678673836162714,39.46682505775527
69,CÁCERES,Cáceres,RONDA DE SAN FRANCISCO,Aparcamiento público,29,3,43.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.3678673836162714,39.46682505775527
