Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-BA-00104,Badajoz,24/05/2023,24/05/2023,METELLINUM BUGGIES EXPERIENCES,MEDELLIN,6411,No
OA-BA-00105,Badajoz,05/07/2023,05/07/2023,RURAL XTREME,MEDELLIN,6411,No
OA-BA-00060,Badajoz,29/03/2019,29/03/2019,ASTROTURISMO POR EXTREMADURA,MERIDA,6800,No
OA-BA-00091,Badajoz,26/07/2021,26/07/2021,"CTRA. N-630, PKM. 634",MERIDA,6800,No
OA-BA-00107,Badajoz,26/07/2023,26/07/2023,ESPEZIA CATERING-ESCUELA COCINA,MERIDA,6800,No
OA-BA-00049,Badajoz,13/07/2017,13/07/2017,GASTRO DEHESA,MERIDA,6800,No
OA-BA-00039,Badajoz,05/01/2015,05/01/2015,MÉRIDA SECRETA,MERIDA,6800,Si
OA-BA-00079,Badajoz,05/08/2020,05/08/2020,CARTA ESTELAR TENTUDIA,MONESTERIO,6260,No
OA-BA-00044,Badajoz,24/02/2016,24/02/2016,TENTUDÍA EN QUAD,MONESTERIO,6260,Si
OA-BA-00026,Badajoz,25/07/2013,25/07/2013,XTREMABUGGY,MONTEMOLIN,6291,Si
OA-BA-00037,Badajoz,11/12/2014,11/12/2014,EXTREMADURA EN GLOBO,MONTIJO,6480,Si
OA-BA-00047,Badajoz,09/01/2017,09/01/2017,WILDROOTS EXTREMADURA,MONTIJO,6480,Si
OA-BA-00041,Badajoz,04/06/2015,04/06/2015,PUERTO DEPORTIVO VILLARREAL DE OLIVENZA,OLIVENZA,6100,No
OA-BA-00077,Badajoz,21/07/2020,21/07/2020,ALQUILER DE BARCAS LAURA,ORELLANA LA VIEJA,6740,No
OA-BA-00076,Badajoz,10/01/2020,10/01/2020,"EXTREMADURA PROFISHING, C.B.",ORELLANA LA VIEJA,6750,No
OA-BA-00068,Badajoz,25/06/2019,25/06/2019,LAS PIRAGUAS DE MABEL,ORELLANA LA VIEJA,6750,No
OA-BA-00062,Badajoz,09/04/2019,09/04/2019,WELLNESS CASTA DULCE ORELLANA,ORELLANA LA VIEJA,6750,No
OA-BA-00072,Badajoz,19/09/2019,19/09/2019,SIBERIATUR,PUEBLA DE ALCOCER,6630,No
OA-BA-00103,Badajoz,16/05/2023,16/05/2023,MAGNUS NATURE,QUINTANA DE LA SERENA,6450,No
OA-BA-00004,Badajoz,31/08/2012,31/08/2012,AVENTUREX,SAN VICENTE DE ALCANTARA,6500,Si
OA-BA-00094,Badajoz,23/11/2021,23/11/2021,EL RETAZO,SEGURA DE LEON,6270,No
OA-BA-00085,Badajoz,01/02/2021,01/02/2021,CASA RURAL LA PAJARONA,SIRUELA,6650,No
OA-BA-00057,Badajoz,26/03/2018,26/03/2018,FINCA LAS MESAS,SIRUELA,6650,No
OA-BA-00101,Badajoz,04/04/2023,04/04/2023,BIGFISHSPAIN,TALARRUBIAS,6640,No
OA-BA-00096,Badajoz,14/12/2022,14/12/2022,"NATUR TURISMO Y OCIO EN L ANATURALEZA,",TRASIERRA,6909,No
OA-BA-00089,Badajoz,18/06/2021,18/06/2021,"CAVE ""SAN JOSE""",VILLAFRANCA DE LOS BARROS,6220,No
OA-BA-00067,Badajoz,25/06/2019,25/06/2019,ERITHACUS OBSERVACION DE NATURALEZA,VILLANUEVA DE LA SERENA,6700,No
OA-BA-00052,Badajoz,06/11/2017,06/11/2017,NAVEGAR EN ALQUEVA,VILLANUEVA DEL FRESNO,6110,Si
OA-BA-00093,Badajoz,11/11/2021,11/11/2021,DRAGONFLY FACTORY,ZAFRA,6300,No
OA-BA-00013,Badajoz,19/09/2012,19/09/2012,ESCUELA DE ACTIVIDADES DE AVENTURA,ZAFRA,6300,No
OA-BA-00059,Badajoz,15/02/2019,15/02/2019,LA CAVA DEL QUESO,ZAFRA,6300,No
OA-BA-00014,Badajoz,19/09/2012,19/09/2012,NATURALEZA DEL SUR,ZAFRA,6300,No
OA-CC-00126,Cáceres,28/10/2016,28/10/2016,SIERRA DE GATA 4X4,ACEBO,10857,No
OA-CC-00074,Cáceres,22/05/2014,22/05/2014,"DIVERTIMENTO OCIO, DEPORTE Y TURISMO",ALCANTARA,10980,Si
OA-CC-00057,Cáceres,03/07/2013,03/07/2013,BIRDING AND WILD PHOTO EL TENADO CASA RURAL,ALDEA DEL OBISPO (LA),10291,Si
OA-CC-00185,Cáceres,07/04/2021,07/04/2021,ACTIVIDADES ECUESTRES A CABALLO POR EL VALLE DEL AMBROZ,ALDEANUEVA DEL CAMINO,10740,Si
OA-CC-00177,Cáceres,09/02/2022,09/02/2022,ASTROTURISMO LA ESTACIÓN,ALDEANUEVA DEL CAMINO,10740,Si
OA-CC-00152,Cáceres,01/04/2019,01/04/2019,COMPLEJO ROMA AVENTURA,ALDEANUEVA DEL CAMINO,10740,No
OA-CC-00088,Cáceres,13/11/2014,13/11/2014,GRANJA EDUCATIVA LA LAGUNA,ALDEANUEVA DEL CAMINO,10740,No
OA-CC-00171,Cáceres,26/10/2020,26/10/2020,ALANA  ( ACTIVIDADES EN LA NATURALEZA),ALIA,10137,No
OA-CC-00104,Cáceres,11/06/2015,11/06/2015,CIJARA GO FISHING,ALIA,10137,No
OA-CC-00016,Cáceres,28/08/2012,28/08/2012,LAKE CÍJARA,ALIA,10137,Si
