Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-CC-00009,Cáceres,10/01/2008,10/01/2008,IBERIAN NATURE GUIAS DE NATURALEZA,TRUJILLO,10200,Si
OA-CC-00159,Cáceres,08/02/2019,08/02/2019,JEREBEQUE TRAILS,TRUJILLO,10200,No
OA-CC-00138,Cáceres,13/04/2018,13/04/2018,NATURE PHOTO TOURS SPAIN,TRUJILLO,10200,Si
OA-CC-00179,Cáceres,21/02/2022,21/02/2022,RUTA DE MISTERIO TRUJILLO OCULTO,TRUJILLO,10200,No
OA-CC-00052,Cáceres,10/09/2009,10/09/2009,TURISMO ORNITOLOGICO,TRUJILLO,10200,Si
OA-CC-00069,Cáceres,27/02/2014,27/02/2014,TURISMOTRUJILLO.ES (ACTIVIDADES TURÍSTICAS),TRUJILLO,10200,No
OA-CC-00192,Cáceres,29/11/2022,29/11/2022,LOS ENCEPADOS EXPERIENCIAS,VALDELACASA DE TAJO,10332,No
OA-CC-00193,Cáceres,19/01/2023,19/01/2023,VA DE AVENTURA,VALDEOBISPO,10672,No
OA-CC-00109,Cáceres,10/07/2015,10/07/2015,CABALLOS MARVAO,VALENCIA DE ALCANTARA,10500,No
OA-CC-00075,Cáceres,17/06/2014,17/06/2014,ESCAPADAS TAJO INTERNACIONAL 4X4,VALENCIA DE ALCANTARA,10500,No
OA-CC-00203,Cáceres,13/04/2023,13/04/2023,EL BUEN AVÍIO DE TREVEJO,VILLAMIEL,10893,Si
OA-CC-00146,Cáceres,30/01/2019,30/01/2019,IDUNA TOURS BIRDING AND NATURE,VILLAR DE PLASENCIA,10720,Si
OA-CC-00194,Cáceres,30/01/2023,30/01/2023,LA MAJÁ DEL TÍO ANTOLÍN,VILLAR DE PLASENCIA,10720,No
OA-CC-00165,Cáceres,06/02/2020,06/02/2020,LAS LUCIAS,VILLAR DEL PEDROSO,10330,No
OA-CC-00182,Cáceres,27/03/2022,27/03/2022,NATURALLY SPANISH – LINGUISTIC HOLIDAYS & ONLINE COURSES,VILLASBUENAS DE GATA,10858,Si
OA-CC-00153,Cáceres,01/07/2019,01/07/2019,PRADOS Y RUTAS ECUESTRES,VILLASBUENAS DE GATA,10858,No
OA-CC-00204,Cáceres,26/07/2023,26/07/2023,RED CANOPEA SL,VILLASBUENAS DE GATA,10858,No
OA-CC-00189,Cáceres,20/05/2022,20/05/2022,LIBERTY PROJECTS,ZARZA DE GRANADILLA,10710,No
OA-CC-00140,Cáceres,06/06/2018,06/06/2018,TRASHUMANA - QUESRÍA ARTESANA CARRASCO,ZORITA,10130,Si
